"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "4.16 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "4.16 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "4.16 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "4.16 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "4.16 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
22, 2433.12, 589.133, 2761.66, 2872.65, 2389.09, 1314.9, 2705.11, 3087.58, 92.6608, 0, 94.5863, 0, 44.0526, 87.9083, 56.5677, 113.102, 44.0526, 87.9083, 0, 0, 56.5677, 0, 44.0526, 1.78606E-005, 41.0777, 1.40815, 42.4858, 1.56676, 0, 0, 0, 0, 44.0526, 0, 0, 0, 0, 0, 0, 44.0526, 0, 0, 0, 0, 0, 0, 1.78606E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2389.09, 0, 0, 0, 0, 0, 0
23, 2219.3, 455.048, 2761.66, 2872.65, 2182.36, 1201.36, 2705.11, 3087.58, 0, 0, 0, 0, 36.9604, 73.6376, 56.5677, 113.102, 36.9604, 73.6376, 0, 0, 56.5677, 0, 36.9604, 1.55171E-005, 34.4903, 1.16054, 35.6508, 1.30962, 0, 0, 0, 0, 36.9604, 0, 0, 0, 0, 0, 0, 36.9604, 0, 0, 0, 0, 0, 0, 1.55171E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2182.36, 0, 0, 0, 0, 0, 0
24, 1950.34, 308.985, 2761.66, 2872.65, 1920.92, 1057.21, 2705.11, 3087.58, 0, 0, 0, 0, 29.465, 58.5607, 56.5677, 113.102, 29.465, 58.5607, 0, 0, 56.5677, 0, 29.465, 1.29915E-005, 27.5308, 0.894964, 28.4258, 1.03916, 0, 0, 0, 0, 29.465, 0, 0, 0, 0, 0, 0, 29.465, 0, 0, 0, 0, 0, 0, 1.29915E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1920.92, 0, 0, 0, 0, 0, 0
25, 1756.51, 189.754, 2761.66, 2872.65, 1731.88, 953.363, 2705.11, 3087.58, 0, 0, 0, 0, 24.6102, 48.8018, 56.5677, 113.102, 24.6102, 48.8018, 0, 0, 56.5677, 0, 24.6102, 1.1537E-005, 23.0384, 0.71917, 23.7576, 0.852651, 0, 0, 0, 0, 24.6102, 0, 0, 0, 0, 0, 0, 24.6102, 0, 0, 0, 0, 0, 0, 1.1537E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1731.88, 0, 0, 0, 0, 0, 0
26, 1644.67, 124.79, 2761.66, 2872.65, 1622.58, 893.244, 2705.11, 3087.58, 0, 0, 0, 0, 22.0997, 43.7602, 56.5677, 113.102, 22.0997, 43.7602, 0, 0, 56.5677, 0, 22.0997, 1.0778E-005, 20.7208, 0.622562, 21.3434, 0.75632, 0, 0, 0, 0, 22.0997, 0, 0, 0, 0, 0, 0, 22.0997, 0, 0, 0, 0, 0, 0, 1.0778E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1622.58, 0, 0, 0, 0, 0, 0
27, 1585.47, 88.742, 2761.66, 2872.65, 1564.53, 861.376, 2705.11, 3087.58, 0, 0, 0, 0, 20.873, 41.2958, 56.5677, 113.102, 20.873, 41.2958, 0, 0, 56.5677, 0, 20.873, 1.04475E-005, 19.5892, 0.57679, 20.166, 0.707075, 0, 0, 0, 0, 20.873, 0, 0, 0, 0, 0, 0, 20.873, 0, 0, 0, 0, 0, 0, 1.04475E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1564.53, 0, 0, 0, 0, 0, 0
28, 1570.11, 79.4073, 2761.66, 2872.65, 1549.52, 853.096, 2705.11, 3087.58, 0, 0, 0, 0, 20.5648, 40.6764, 56.5677, 113.102, 20.5648, 40.6764, 0, 0, 56.5677, 0, 20.5648, 1.03665E-005, 19.3052, 0.565043, 19.8702, 0.694586, 0, 0, 0, 0, 20.5648, 0, 0, 0, 0, 0, 0, 20.5648, 0, 0, 0, 0, 0, 0, 1.03665E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1549.52, 0, 0, 0, 0, 0, 0
29, 1600.93, 98.1525, 2761.66, 2872.65, 1579.78, 869.696, 2705.11, 3087.58, 0, 0, 0, 0, 21.1869, 41.9261, 56.5677, 113.102, 21.1869, 41.9261, 0, 0, 56.5677, 0, 21.1869, 1.05323E-005, 19.8788, 0.588388, 20.4672, 0.719718, 0, 0, 0, 0, 21.1869, 0, 0, 0, 0, 0, 0, 21.1869, 0, 0, 0, 0, 0, 0, 1.05323E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1579.78, 0, 0, 0, 0, 0, 0
30, 1715.55, 168.058, 2761.66, 2872.65, 1691.9, 931.35, 2705.11, 3087.58, 0, 0, 0, 0, 23.6526, 46.8809, 56.5677, 113.102, 23.6526, 46.8809, 0, 0, 56.5677, 0, 23.6526, 1.12161E-005, 22.1546, 0.680125, 22.8347, 0.817876, 0, 0, 0, 0, 23.6526, 0, 0, 0, 0, 0, 0, 23.6526, 0, 0, 0, 0, 0, 0, 1.12161E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1691.9, 0, 0, 0, 0, 0, 0
31, 1928.36, 298.759, 2761.66, 2872.65, 1899.51, 1045.44, 2705.11, 3087.58, 0, 0, 0, 0, 28.8669, 57.3625, 56.5677, 113.102, 28.8669, 57.3625, 0, 0, 56.5677, 0, 28.8669, 1.27592E-005, 26.9785, 0.868895, 27.8474, 1.01954, 0, 0, 0, 0, 28.8669, 0, 0, 0, 0, 0, 0, 28.8669, 0, 0, 0, 0, 0, 0, 1.27592E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.51, 0, 0, 0, 0, 0, 0
32, 2135.74, 423.926, 2761.66, 2872.65, 2100.97, 1156.15, 2705.11, 3087.58, 0, 0, 0, 0, 34.7568, 69.2036, 56.5677, 113.102, 34.7568, 69.2036, 0, 0, 56.5677, 0, 34.7568, 1.46602E-005, 32.4363, 1.08354, 33.5198, 1.23704, 0, 0, 0, 0, 34.7568, 0, 0, 0, 0, 0, 0, 34.7568, 0, 0, 0, 0, 0, 0, 1.46602E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2100.97, 0, 0, 0, 0, 0, 0
33, 2277.77, 509.284, 2761.66, 2872.65, 2238.51, 1231.74, 2705.11, 3087.58, 0, 0, 0, 0, 39.2545, 78.268, 56.5677, 113.102, 39.2545, 78.268, 0, 0, 56.5677, 0, 39.2545, 1.61654E-005, 36.5947, 1.25889, 37.8536, 1.40094, 0, 0, 0, 0, 39.2545, 0, 0, 0, 0, 0, 0, 39.2545, 0, 0, 0, 0, 0, 0, 1.61654E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2238.51, 0, 0, 0, 0, 0, 0
34, 2446.2, 608.475, 2761.66, 2872.65, 2401.14, 1321.09, 2705.11, 3087.58, 123.12, 0, 127.256, 0, 45.0382, 89.9062, 56.5677, 113.102, 45.0382, 89.9062, 0, 0, 56.5677, 0, 45.0381, 1.82003E-005, 41.993, 1.44271, 43.4357, 1.60241, 0, 0, 0, 0, 45.0382, 0, 0, 0, 0, 0, 0, 45.0381, 0, 0, 0, 0, 0, 0, 1.82003E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2401.14, 0, 0, 0, 0, 0, 0
35, 2598.44, 701.494, 2761.66, 2872.65, 2547.7, 1401.55, 2705.11, 3087.58, 288.779, 0, 318.542, 0, 50.7189, 101.339, 56.5677, 113.102, 50.7189, 101.339, 0, 0, 56.5677, 0, 50.7189, 2.02034E-005, 47.2693, 1.64864, 48.9179, 1.80095, 0, 0, 0, 0, 50.7189, 0, 0, 0, 0, 0, 0, 50.7189, 0, 0, 0, 0, 0, 0, 2.02034E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2547.7, 0, 0, 0, 0, 0, 0
36, 2558.24, 675.982, 2761.66, 2872.65, 2508.95, 1380.34, 2705.11, 3087.58, 245.283, 0, 266.067, 0, 49.1753, 98.2313, 56.5677, 113.102, 49.1753, 98.2313, 0, 0, 56.5677, 0, 49.1753, 1.96717E-005, 45.8333, 1.59569, 47.429, 1.74625, 0, 0, 0, 0, 49.1753, 0, 0, 0, 0, 0, 0, 49.1753, 0, 0, 0, 0, 0, 0, 1.96717E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2508.95, 0, 0, 0, 0, 0, 0
37, 2497.08, 637.255, 2761.66, 2872.65, 2450.19, 1348.02, 2705.11, 3087.58, 178.955, 0, 189.15, 0, 46.8838, 93.6183, 56.5677, 113.102, 46.8838, 93.6183, 0, 0, 56.5677, 0, 46.8838, 1.88801E-005, 43.7027, 1.51643, 45.2191, 1.66469, 0, 0, 0, 0, 46.8838, 0, 0, 0, 0, 0, 0, 46.8838, 0, 0, 0, 0, 0, 0, 1.88801E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2450.19, 0, 0, 0, 0, 0, 0
38, 2427.61, 593.387, 2761.66, 2872.65, 2383.23, 1311.26, 2705.11, 3087.58, 103.539, 0, 106.175, 0, 44.3676, 88.554, 56.5677, 113.102, 44.3676, 88.554, 0, 0, 56.5677, 0, 44.3676, 1.80186E-005, 41.3634, 1.42944, 42.7929, 1.57473, 0, 0, 0, 0, 44.3676, 0, 0, 0, 0, 0, 0, 44.3676, 0, 0, 0, 0, 0, 0, 1.80186E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2383.23, 0, 0, 0, 0, 0, 0
39, 2387.16, 567.896, 2761.66, 2872.65, 2344.11, 1289.84, 2705.11, 3087.58, 59.6104, 0, 60.0343, 0, 42.9451, 85.6914, 56.5677, 113.102, 42.9451, 85.6914, 0, 0, 56.5677, 0, 42.9451, 1.75415E-005, 40.041, 1.38039, 41.4214, 1.52368, 0, 0, 0, 0, 42.9451, 0, 0, 0, 0, 0, 0, 42.9451, 0, 0, 0, 0, 0, 0, 1.75415E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2344.11, 0, 0, 0, 0, 0, 0
40, 2334.38, 534.716, 2761.66, 2872.65, 2293.25, 1261.84, 2705.11, 3087.58, 2.10633, 0, 2.07109, 0, 41.1333, 82.0449, 56.5677, 113.102, 41.1333, 82.0449, 0, 0, 56.5677, 0, 41.1332, 1.69295E-005, 38.3578, 1.31695, 39.6747, 1.4585, 0, 0, 0, 0, 41.1333, 0, 0, 0, 0, 0, 0, 41.1332, 0, 0, 0, 0, 0, 0, 1.69295E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2293.25, 0, 0, 0, 0, 0, 0
41, 2427.34, 593.217, 2761.66, 2872.65, 2383, 1311.12, 2705.11, 3087.58, 103.225, 0, 105.84, 0, 44.3579, 88.5343, 56.5677, 113.102, 44.3579, 88.5343, 0, 0, 56.5677, 0, 44.3579, 1.80173E-005, 41.3544, 1.42894, 42.7833, 1.57456, 0, 0, 0, 0, 44.3579, 0, 0, 0, 0, 0, 0, 44.3579, 0, 0, 0, 0, 0, 0, 1.80173E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2383, 0, 0, 0, 0, 0, 0
42, 2799.09, 811.357, 2799.09, 2914.31, 2740.99, 1508.23, 2740.99, 3128.54, 486.868, 0, 577.151, 0, 58.1208, 116.25, 58.1208, 116.25, 58.1208, 116.25, 0, 0, 58.1208, 0, 58.1208, 2.28607E-005, 54.1732, 1.89333, 56.0665, 2.05432, 0, 0, 0, 0, 58.1208, 0, 0, 0, 0, 0, 0, 58.1208, 0, 0, 0, 0, 0, 0, 2.28607E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2740.99, 0, 0, 0, 0, 0, 0
43, 2899.63, 875.828, 2899.63, 3029.01, 2837.22, 1561.05, 2837.22, 3238.32, 594.885, 0, 732.326, 0, 62.4259, 124.919, 62.4259, 124.919, 62.4259, 124.919, 0, 0, 62.4259, 0, 62.4259, 2.43968E-005, 58.1828, 2.03881, 60.2216, 2.20425, 0, 0, 0, 0, 62.4259, 0, 0, 0, 0, 0, 0, 62.4259, 0, 0, 0, 0, 0, 0, 2.43968E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2837.22, 0, 0, 0, 0, 0, 0
44, 2792.18, 806.936, 2899.63, 3029.01, 2734.32, 1504.6, 2837.22, 3238.32, 479.437, 0, 566.833, 0, 57.8323, 115.669, 62.4259, 124.919, 57.8323, 115.669, 0, 0, 62.4259, 0, 57.8323, 2.27604E-005, 53.9043, 1.88372, 55.788, 2.04427, 0, 0, 0, 0, 57.8323, 0, 0, 0, 0, 0, 0, 57.8323, 0, 0, 0, 0, 0, 0, 2.27604E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2734.32, 0, 0, 0, 0, 0, 0
45, 2682.68, 737.049, 2899.63, 3029.01, 2629.29, 1446.94, 2837.22, 3238.32, 361.413, 0, 409.37, 0, 53.374, 106.692, 62.4259, 124.919, 53.374, 106.692, 0, 0, 62.4259, 0, 53.3739, 2.11932E-005, 49.754, 1.73202, 51.486, 1.88797, 0, 0, 0, 0, 53.374, 0, 0, 0, 0, 0, 0, 53.3739, 0, 0, 0, 0, 0, 0, 2.11932E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2629.29, 0, 0, 0, 0, 0, 0
