"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage"
98, 72, 0.998217, 0, 1.04479
99, 80, 0.992844, 0, 1.03911
100, 80, 0.994236, 0, 1.0409
101, 80, 0.994403, 0, 1.04112
102, 80, 0.993187, 0, 1.03953
103, 82, 0.990179, 0, 1.03641
104, 83, 0.985207, 0, 1.036
105, 84, 0.980599, 0, 1.03578
106, 76, 0.984236, 0, 1.03913
107, 81, 0.980895, 0, 1.03795
108, 70, 0.984466, 0, 1.04342
109, 70, 0.98469, 0, 1.0435
110, 70, 0.984969, 0, 1.0436
111, 70, 0.984426, 0, 1.0434
112, 72, 0.983911, 0, 1.04322
113, 72, 0.983853, 0, 1.0432
114, 68, 0.986217, 0, 1.04402
115, 67, 0.987442, 0, 1.04446
116, 66, 0.988724, 0, 1.04491
117, 66, 0.990799, 0, 1.04616
118, 66, 0.9908, 0, 1.04616
119, 65, 0.993387, 0, 1.04665
120, 65, 0.997424, 0, 1.04852
121, 73, 0.99548, 0, 1.04752
122, 72, 0.998217, 0, 1.04479
123, 80, 0.992844, 0, 1.03911
124, 80, 0.994236, 0, 1.0409
125, 80, 0.994403, 0, 1.04112
126, 80, 0.993187, 0, 1.03953
127, 82, 0.990179, 0, 1.03641
128, 83, 0.985207, 0, 1.036
129, 84, 0.980599, 0, 1.03578
130, 76, 0.984236, 0, 1.03913
131, 81, 0.980895, 0, 1.03795
132, 70, 0.984466, 0, 1.04342
133, 70, 0.98469, 0, 1.0435
134, 70, 0.984969, 0, 1.0436
135, 70, 0.984426, 0, 1.0434
136, 72, 0.983911, 0, 1.04322
137, 72, 0.983853, 0, 1.0432
138, 68, 0.986217, 0, 1.04402
139, 67, 0.987442, 0, 1.04446
140, 66, 0.988724, 0, 1.04491
141, 66, 0.990799, 0, 1.04616
142, 66, 0.9908, 0, 1.04616
143, 65, 0.993387, 0, 1.04665
144, 65, 0.997424, 0, 1.04852
145, 73, 0.99548, 0, 1.04752
146, 72, 0.998217, 0, 1.04479
147, 80, 0.992844, 0, 1.03911
148, 80, 0.994236, 0, 1.0409
149, 80, 0.994403, 0, 1.04112
150, 80, 0.993187, 0, 1.03953
151, 82, 0.990179, 0, 1.03641
152, 83, 0.985207, 0, 1.036
153, 84, 0.980599, 0, 1.03578
154, 76, 0.984236, 0, 1.03913
155, 81, 0.980895, 0, 1.03795
156, 70, 0.984466, 0, 1.04342
157, 70, 0.98469, 0, 1.0435
158, 70, 0.984969, 0, 1.0436
159, 70, 0.984426, 0, 1.0434
160, 72, 0.983911, 0, 1.04322
161, 72, 0.983853, 0, 1.0432
162, 68, 0.986217, 0, 1.04402
163, 67, 0.987442, 0, 1.04446
164, 66, 0.988724, 0, 1.04491
165, 66, 0.990799, 0, 1.04616
166, 66, 0.9908, 0, 1.04616
167, 65, 0.993387, 0, 1.04665
168, 65, 0.997424, 0, 1.04852
