"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "Aux1", "Aux2", "Aux3", "Aux4", "Aux5", "Aux6", "Aux7"
19, 1657.64, 150.809, 1692.98, 1701.73, 1635.05, 907.317, 1669.64, 1909.36, 0, 0, 1754.73, 119.675, 22.545, 44.5958, 23.3322, 46.1854, 22.545, 44.5958, 0, 0, 23.3322, 0, 22.545, 1.07617E-005, 21.1123, 0.645696, 21.758, 0.786991, 0, 0, 0, 0, 22.545, 0, 0, 0, 0, 0, 0
20, 1625.8, 131.415, 1692.98, 1701.73, 1603.91, 890.236, 1669.64, 1909.36, 0, 0, 1708.68, 104.777, 21.8552, 43.2028, 23.3322, 46.1854, 21.8552, 43.2028, 0, 0, 23.3322, 0, 21.8552, 1.05709E-005, 20.4757, 0.620261, 21.0959, 0.759307, 0, 0, 0, 0, 21.8552, 0, 0, 0, 0, 0, 0
21, 1572.78, 99.1555, 1692.98, 1701.73, 1551.97, 861.754, 1669.64, 1909.36, 0, 0, 1636.44, 84.4749, 20.7483, 40.9678, 23.3322, 46.1854, 20.7483, 40.9678, 0, 0, 23.3322, 0, 20.7483, 1.02695E-005, 19.4546, 0.579181, 20.0338, 0.714487, 0, 0, 0, 0, 20.7483, 0, 0, 0, 0, 0, 0
22, 1509.15, 60.5152, 1692.98, 1701.73, 1489.58, 827.504, 1669.64, 1909.36, 0, 0, 1553.77, 64.1886, 19.488, 38.4239, 23.3322, 46.1854, 19.488, 38.4239, 0, 0, 23.3322, 0, 19.488, 9.93693E-006, 18.2934, 0.531797, 18.8252, 0.66278, 0, 0, 0, 0, 19.488, 0, 0, 0, 0, 0, 0
23, 1410.1, 0.447382, 1692.98, 1701.73, 1392.43, 773.94, 1669.64, 1909.36, 0, 0, 1431.22, 38.7862, 17.6736, 34.7621, 23.3322, 46.1854, 17.6736, 34.7621, 0, 0, 23.3322, 0, 17.6736, 9.48189E-006, 16.6246, 0.462068, 17.0867, 0.586861, 0, 0, 0, 0, 17.6736, 0, 0, 0, 0, 0, 0
24, 1307.65, -61.4028, 1692.98, 1701.73, 1291.66, 718.462, 1669.64, 1909.36, 0, 0, 1309.81, 18.1508, 15.9867, 31.3598, 23.3322, 46.1854, 15.9867, 31.3598, 0, 0, 23.3322, 0, 15.9867, 9.09542E-006, 15.077, 0.395587, 15.4726, 0.514098, 0, 0, 0, 0, 15.9867, 0, 0, 0, 0, 0, 0
25, 1247.66, -97.5358, 1692.98, 1701.73, 1232.52, 685.893, 1669.64, 1909.36, 0, 0, 1241.24, 8.71566, 15.0881, 29.5482, 23.3322, 46.1854, 15.0881, 29.5482, 0, 0, 23.3322, 0, 15.0881, 8.9054E-006, 14.2546, 0.359247, 14.6139, 0.474178, 0, 0, 0, 0, 15.0881, 0, 0, 0, 0, 0, 0
26, 1215.85, -116.654, 1692.98, 1701.73, 1201.19, 668.598, 1669.64, 1909.36, 0, 0, 1205.48, 4.28519, 14.6381, 28.6413, 23.3322, 46.1854, 14.6381, 28.6413, 0, 0, 23.3322, 0, 14.6381, 8.81684E-006, 13.8436, 0.340664, 14.1843, 0.453814, 0, 0, 0, 0, 14.6381, 0, 0, 0, 0, 0, 0
27, 1198.19, -127.265, 1692.98, 1701.73, 1183.78, 658.983, 1669.64, 1909.36, 0, 0, 1186.18, 2.4019, 14.3961, 28.1537, 23.3322, 46.1854, 14.3961, 28.1537, 0, 0, 23.3322, 0, 14.3961, 8.77053E-006, 13.6228, 0.330572, 13.9534, 0.442746, 0, 0, 0, 0, 14.3961, 0, 0, 0, 0, 0, 0
28, 1208.76, -120.91, 1692.98, 1701.73, 1194.23, 664.736, 1669.64, 1909.36, 0, 0, 1197.63, 3.40361, 14.5401, 28.4438, 23.3322, 46.1854, 14.5401, 28.4438, 0, 0, 23.3322, 0, 14.5401, 8.79757E-006, 13.7542, 0.336544, 14.0908, 0.449342, 0, 0, 0, 0, 14.5401, 0, 0, 0, 0, 0, 0
29, 1215.82, -116.665, 1692.98, 1701.73, 1201.19, 668.58, 1669.64, 1909.36, 0, 0, 1205.36, 4.17212, 14.6376, 28.6402, 23.3322, 46.1854, 14.6376, 28.6402, 0, 0, 23.3322, 0, 14.6376, 8.81673E-006, 13.8432, 0.340596, 14.1838, 0.453788, 0, 0, 0, 0, 14.6376, 0, 0, 0, 0, 0, 0
30, 1275.81, -80.5699, 1692.98, 1701.73, 1260.36, 701.185, 1669.64, 1909.36, 0, 0, 1272.91, 12.5449, 15.5014, 30.3812, 23.3322, 46.1854, 15.5014, 30.3812, 0, 0, 23.3322, 0, 15.5013, 8.99261E-006, 14.6328, 0.375935, 15.0087, 0.492648, 0, 0, 0, 0, 15.5014, 0, 0, 0, 0, 0, 0
31, 1388.9, -12.3675, 1692.98, 1701.73, 1371.6, 762.478, 1669.64, 1909.36, 0, 0, 1407.26, 35.6651, 17.3088, 34.0263, 23.3322, 46.1854, 17.3088, 34.0263, 0, 0, 23.3322, 0, 17.3088, 9.39307E-006, 16.2895, 0.447866, 16.7374, 0.571379, 0, 0, 0, 0, 17.3088, 0, 0, 0, 0, 0, 0
32, 1424.21, 8.98296, 1692.98, 1701.73, 1406.32, 781.565, 1669.64, 1909.36, 0, 0, 1451.25, 44.9343, 17.9209, 35.2611, 23.3322, 46.1854, 17.9209, 35.2611, 0, 0, 23.3322, 0, 17.9209, 9.54177E-006, 16.8519, 0.471621, 17.3235, 0.597412, 0, 0, 0, 0, 17.9209, 0, 0, 0, 0, 0, 0
33, 1473.68, 38.9296, 1692.98, 1701.73, 1454.9, 808.269, 1669.64, 1909.36, 0, 0, 1513.73, 58.8273, 18.817, 37.0692, 23.3322, 46.1854, 18.817, 37.0692, 0, 0, 23.3322, 0, 18.8169, 9.76555E-006, 17.6758, 0.506042, 18.1819, 0.635063, 0, 0, 0, 0, 18.817, 0, 0, 0, 0, 0, 0
34, 1551.5, 86.1306, 1692.98, 1701.73, 1531.18, 850.198, 1669.64, 1909.36, 0, 0, 1610.79, 79.6096, 20.3178, 40.0983, 23.3322, 46.1854, 20.3178, 40.0983, 0, 0, 23.3322, 0, 20.3177, 1.01522E-005, 19.0578, 0.562912, 19.6207, 0.697011, 0, 0, 0, 0, 20.3178, 0, 0, 0, 0, 0, 0
35, 1590.35, 109.745, 1692.98, 1701.73, 1569.29, 871.081, 1669.64, 1909.36, 0, 0, 1662.87, 93.5864, 21.1084, 41.6945, 23.3322, 46.1854, 21.1084, 41.6945, 0, 0, 23.3322, 0, 21.1084, 1.03647E-005, 19.7868, 0.592391, 20.3792, 0.729225, 0, 0, 0, 0, 21.1084, 0, 0, 0, 0, 0, 0
36, 1611.62, 122.788, 1692.98, 1701.73, 1590.06, 882.621, 1669.64, 1909.36, 0, 0, 1688.77, 98.7092, 21.5538, 42.5941, 23.3322, 46.1854, 21.5538, 42.5941, 0, 0, 23.3322, 0, 21.5538, 1.04861E-005, 20.1976, 0.609043, 20.8066, 0.747147, 0, 0, 0, 0, 21.5538, 0, 0, 0, 0, 0, 0
37, 1590.42, 109.889, 1692.98, 1701.73, 1569.28, 871.233, 1669.64, 1909.36, 0, 0, 1659.93, 90.6426, 21.1106, 41.6993, 23.3322, 46.1854, 21.1106, 41.6993, 0, 0, 23.3322, 0, 21.1106, 1.03651E-005, 19.7888, 0.592603, 20.3814, 0.729211, 0, 0, 0, 0, 21.1106, 0, 0, 0, 0, 0, 0
38, 1562.14, 92.6962, 1692.98, 1701.73, 1541.57, 856.029, 1669.64, 1909.36, 0, 0, 1622.13, 80.5525, 20.5321, 40.5313, 23.3322, 46.1854, 20.5321, 40.5313, 0, 0, 23.3322, 0, 20.5321, 1.02112E-005, 19.2554, 0.571024, 19.8264, 0.705669, 0, 0, 0, 0, 20.5321, 0, 0, 0, 0, 0, 0
39, 1540.92, 79.8066, 1692.98, 1701.73, 1520.78, 844.608, 1669.64, 1909.36, 0, 0, 1594.21, 73.4323, 20.1076, 39.6743, 23.3322, 46.1854, 20.1076, 39.6743, 0, 0, 23.3322, 0, 20.1075, 1.00972E-005, 18.8642, 0.555074, 19.4193, 0.688292, 0, 0, 0, 0, 20.1076, 0, 0, 0, 0, 0, 0
40, 1555.02, 88.3785, 1692.98, 1701.73, 1534.64, 852.194, 1669.64, 1909.36, 0, 0, 1612.37, 77.7264, 20.3885, 40.2413, 23.3322, 46.1854, 20.3885, 40.2413, 0, 0, 23.3322, 0, 20.3884, 1.01731E-005, 19.1231, 0.565537, 19.6887, 0.699794, 0, 0, 0, 0, 20.3885, 0, 0, 0, 0, 0, 0
41, 1639.91, 140.011, 1692.98, 1701.73, 1617.75, 897.801, 1669.64, 1909.36, 0, 0, 1728.47, 110.721, 22.1582, 43.8145, 23.3322, 46.1854, 22.1582, 43.8145, 0, 0, 23.3322, 0, 22.1582, 1.06538E-005, 20.7554, 0.631338, 21.3867, 0.771481, 0, 0, 0, 0, 22.1582, 0, 0, 0, 0, 0, 0
42, 1785.01, 225.831, 1785.01, 1799.24, 1759.49, 976.026, 1759.49, 2012.07, 0, 0, 1952.69, 193.194, 25.5163, 50.6062, 25.5163, 50.6062, 25.5163, 50.6062, 0, 0, 25.5163, 0, 25.5163, 1.16426E-005, 23.8445, 0.76855, 24.6131, 0.903217, 0, 0, 0, 0, 25.5163, 0, 0, 0, 0, 0, 0
43, 1810.37, 238.524, 1810.37, 1826.02, 1784.21, 990.053, 1784.21, 2040.5, 0, 0, 1991.28, 207.068, 26.1512, 51.8884, 26.1512, 51.8884, 26.1512, 51.8884, 0, 0, 26.1512, 0, 26.1512, 1.18685E-005, 24.4303, 0.795538, 25.2259, 0.925333, 0, 0, 0, 0, 26.1512, 0, 0, 0, 0, 0, 0
44, 1796.23, 229.849, 1810.37, 1826.02, 1770.4, 982.497, 1784.21, 2040.5, 0, 0, 1968.41, 198.008, 25.8032, 51.185, 26.1512, 51.8884, 25.8032, 51.185, 0, 0, 26.1512, 0, 25.8032, 1.17677E-005, 24.1086, 0.782791, 24.8914, 0.911779, 0, 0, 0, 0, 25.8032, 0, 0, 0, 0, 0, 0
45, 1718.33, 182.177, 1810.37, 1826.02, 1694.37, 940.829, 1784.21, 2040.5, 0, 0, 1844.17, 149.792, 23.9536, 47.4483, 26.1512, 51.8884, 23.9536, 47.4483, 0, 0, 26.1512, 0, 23.9535, 1.12332E-005, 22.3995, 0.714842, 23.1143, 0.839213, 0, 0, 0, 0, 23.9536, 0, 0, 0, 0, 0, 0
46, 1605.1, 113.084, 1810.37, 1826.02, 1583.63, 880.064, 1784.21, 2040.5, 0, 0, 1678.23, 94.5951, 21.4653, 42.4229, 26.1512, 51.8884, 21.4653, 42.4229, 0, 0, 26.1512, 0, 21.4653, 1.05364E-005, 20.1035, 0.621923, 20.7254, 0.739844, 0, 0, 0, 0, 21.4653, 0, 0, 0, 0, 0, 0
47, 1467.18, 29.2516, 1810.37, 1826.02, 1448.42, 805.731, 1784.21, 2040.5, 0, 0, 1499.93, 51.5121, 18.7536, 36.9487, 26.1512, 51.8884, 18.7536, 36.9487, 0, 0, 26.1512, 0, 18.7536, 9.82779E-006, 17.6072, 0.517935, 18.1251, 0.628525, 0, 0, 0, 0, 18.7536, 0, 0, 0, 0, 0, 0
48, 1360.67, -32.3304, 1810.37, 1826.02, 1343.8, 747.633, 1784.21, 2040.5, 0, 0, 1371.15, 27.3433, 16.8715, 33.1511, 26.1512, 51.8884, 16.8715, 33.1511, 0, 0, 26.1512, 0, 16.8715, 9.33172E-006, 15.879, 0.441491, 16.3205, 0.550987, 0, 0, 0, 0, 16.8715, 0, 0, 0, 0, 0, 0
49, 1339.5, -45.1211, 1810.37, 1826.02, 1322.95, 736.158, 1784.21, 2040.5, 0, 0, 1346.14, 23.1851, 16.527, 32.4561, 26.1512, 51.8884, 16.527, 32.4561, 0, 0, 26.1512, 0, 16.5269, 9.2563E-006, 15.5632, 0.427726, 15.9909, 0.536059, 0, 0, 0, 0, 16.527, 0, 0, 0, 0, 0, 0
50, 1325.36, -53.6518, 1810.37, 1826.02, 1309.05, 728.491, 1784.21, 2040.5, 0, 0, 1329.53, 20.4818, 16.3014, 32.0011, 26.1512, 51.8884, 16.3014, 32.0011, 0, 0, 26.1512, 0, 16.3014, 9.20592E-006, 15.3565, 0.418603, 15.7751, 0.526225, 0, 0, 0, 0, 16.3014, 0, 0, 0, 0, 0, 0
51, 1321.82, -55.7869, 1810.37, 1826.02, 1305.57, 726.57, 1784.21, 2040.5, 0, 0, 1325.34, 19.7707, 16.2454, 31.8881, 26.1512, 51.8884, 16.2454, 31.8881, 0, 0, 26.1512, 0, 16.2454, 9.19295E-006, 15.3053, 0.41632, 15.7216, 0.523776, 0, 0, 0, 0, 16.2454, 0, 0, 0, 0, 0, 0
52, 1360.64, -32.3431, 1810.37, 1826.02, 1343.8, 747.615, 1784.21, 2040.5, 0, 0, 1370.97, 27.1671, 16.8709, 33.1498, 26.1512, 51.8884, 16.8709, 33.1498, 0, 0, 26.1512, 0, 16.8709, 9.33026E-006, 15.8785, 0.441443, 16.32, 0.550961, 0, 0, 0, 0, 16.8709, 0, 0, 0, 0, 0, 0
53, 1395.97, -10.9879, 1810.37, 1826.02, 1378.54, 766.747, 1784.21, 2040.5, 0, 0, 1414.32, 35.78, 17.4644, 34.3471, 26.1512, 51.8884, 17.4644, 34.3471, 0, 0, 26.1512, 0, 17.4644, 9.47158E-006, 16.4229, 0.465061, 16.8879, 0.576443, 0, 0, 0, 0, 17.4644, 0, 0, 0, 0, 0, 0
54, 1569.2, 94.048, 1810.37, 1826.02, 1548.5, 860.22, 1784.21, 2040.5, 0, 0, 1635.46, 86.9552, 20.7051, 40.8883, 26.1512, 51.8884, 20.7051, 40.8883, 0, 0, 26.1512, 0, 20.7051, 1.02866E-005, 19.4033, 0.590335, 19.9936, 0.711484, 0, 0, 0, 0, 20.7051, 0, 0, 0, 0, 0, 0
55, 1852.87, 264.592, 1852.87, 1871.66, 1825.64, 1012.73, 1825.64, 2087.72, 0, 0, 2061.17, 235.532, 27.2188, 54.0456, 27.2188, 54.0456, 27.2188, 54.0456, 0, 0, 27.2188, 0, 27.2188, 1.21894E-005, 25.4178, 0.8343, 26.2521, 0.966707, 0, 0, 0, 0, 27.2188, 0, 0, 0, 0, 0, 0
56, 2013.22, 360.458, 2013.22, 2045.24, 1981.67, 1098.52, 1981.67, 2265.78, 0, 0, 2313.65, 331.984, 31.5458, 62.7919, 31.5458, 62.7919, 31.5458, 62.7919, 0, 0, 31.5458, 0, 31.5458, 1.35627E-005, 29.4476, 0.968678, 30.4163, 1.12948, 0, 0, 0, 0, 31.5458, 0, 0, 0, 0, 0, 0
57, 2069.84, 395.456, 2069.84, 2107.28, 2036.76, 1128.52, 2036.76, 2328.51, 0, 0, 2411.39, 374.631, 33.1869, 66.1097, 33.1869, 66.1097, 33.1869, 66.1097, 0, 0, 33.1869, 0, 33.1869, 1.40811E-005, 30.9697, 1.02598, 31.9957, 1.19115, 0, 0, 0, 0, 33.1869, 0, 0, 0, 0, 0, 0
58, 2077.03, 399.89, 2077.03, 2115.17, 2043.64, 1132.34, 2043.64, 2336.38, 0, 0, 2425.46, 381.818, 33.4003, 66.5414, 33.4003, 66.5414, 33.4003, 66.5414, 0, 0, 33.4003, 0, 33.4003, 1.41475E-005, 31.1674, 1.03372, 32.2011, 1.19916, 0, 0, 0, 0, 33.4003, 0, 0, 0, 0, 0, 0
59, 2116.74, 421.713, 2116.74, 2158.34, 2082.13, 1153.91, 2082.13, 2380.49, 0, 0, 2494.41, 412.283, 34.598, 68.9629, 34.598, 68.9629, 34.598, 68.9629, 0, 0, 34.598, 0, 34.598, 1.45713E-005, 32.276, 1.08129, 33.3573, 1.24068, 0, 0, 0, 0, 34.598, 0, 0, 0, 0, 0, 0
60, 2084.86, 401.961, 2116.74, 2158.34, 2051.16, 1137.04, 2082.13, 2380.49, 0, 0, 2437.67, 386.51, 33.6394, 67.0245, 34.598, 68.9629, 33.6394, 67.0245, 0, 0, 34.598, 0, 33.6394, 1.42656E-005, 31.3867, 1.04771, 32.4344, 1.20496, 0, 0, 0, 0, 33.6394, 0, 0, 0, 0, 0, 0
61, 2088.33, 404.123, 2116.74, 2158.34, 2054.6, 1138.88, 2082.13, 2380.49, 0, 0, 2442.9, 388.302, 33.7424, 67.2326, 34.598, 68.9629, 33.7424, 67.2326, 0, 0, 34.598, 0, 33.7424, 1.42964E-005, 31.4825, 1.0511, 32.5336, 1.20879, 0, 0, 0, 0, 33.7424, 0, 0, 0, 0, 0, 0
62, 2060.02, 386.591, 2116.74, 2158.34, 2027.06, 1123.89, 2082.13, 2380.49, 0, 0, 2393.45, 366.391, 32.9055, 65.5405, 34.598, 68.9629, 32.9055, 65.5405, 0, 0, 34.598, 0, 32.9055, 1.40281E-005, 30.706, 1.02191, 31.7279, 1.17753, 0, 0, 0, 0, 32.9055, 0, 0, 0, 0, 0, 0
63, 2028.11, 366.857, 2116.74, 2158.34, 1996.06, 1106.96, 2082.13, 2380.49, 0, 0, 2337.59, 341.526, 31.9795, 63.6684, 34.598, 68.9629, 31.9795, 63.6684, 0, 0, 34.598, 0, 31.9795, 1.37335E-005, 29.8474, 0.989316, 30.8367, 1.14279, 0, 0, 0, 0, 31.9795, 0, 0, 0, 0, 0, 0
64, 2006.81, 353.702, 2116.74, 2158.34, 1975.39, 1095.66, 2082.13, 2380.49, 0, 0, 2300.47, 325.075, 31.372, 62.44, 34.598, 68.9629, 31.372, 62.44, 0, 0, 34.598, 0, 31.3719, 1.35443E-005, 29.2842, 0.96779, 30.252, 1.11992, 0, 0, 0, 0, 31.372, 0, 0, 0, 0, 0, 0
65, 2116.71, 421.701, 2116.74, 2158.34, 2082.13, 1153.89, 2082.13, 2380.49, 0, 0, 2493.8, 411.675, 34.5968, 68.9603, 34.598, 68.9629, 34.5968, 68.9603, 0, 0, 34.598, 0, 34.5968, 1.45686E-005, 32.2752, 1.08097, 33.3562, 1.24062, 0, 0, 0, 0, 34.5968, 0, 0, 0, 0, 0, 0
66, 2173.38, 456.861, 2173.38, 2220.87, 2137.15, 1183.83, 2137.15, 2443.12, 0, 0, 2596.77, 459.625, 36.3474, 72.5001, 36.3474, 72.5001, 36.3474, 72.5001, 0, 0, 36.3474, 0, 36.3473, 1.51385E-005, 33.9001, 1.14169, 35.0418, 1.3055, 0, 0, 0, 0, 36.3474, 0, 0, 0, 0, 0, 0
67, 2148.71, 441.531, 2173.38, 2220.87, 2113.08, 1170.81, 2137.15, 2443.12, 0, 0, 2553.35, 440.262, 35.5789, 70.9465, 36.3474, 72.5001, 35.5789, 70.9465, 0, 0, 36.3474, 0, 35.5789, 1.48887E-005, 33.1863, 1.11548, 34.3018, 1.2771, 0, 0, 0, 0, 35.5789, 0, 0, 0, 0, 0, 0
68, 2092.01, 406.378, 2173.38, 2220.87, 2058.04, 1140.83, 2137.15, 2443.12, 0, 0, 2451.11, 393.068, 33.8531, 67.4568, 36.3474, 72.5001, 33.8531, 67.4568, 0, 0, 36.3474, 0, 33.8531, 1.43301E-005, 31.5848, 1.05536, 32.6401, 1.21295, 0, 0, 0, 0, 33.8531, 0, 0, 0, 0, 0, 0
69, 2052.95, 382.213, 2173.38, 2220.87, 2020.17, 1120.14, 2137.15, 2443.12, 0, 0, 2381.24, 361.069, 32.6988, 65.1227, 36.3474, 72.5001, 32.6988, 65.1227, 0, 0, 36.3474, 0, 32.6988, 1.39672E-005, 30.5143, 1.01471, 31.529, 1.16979, 0, 0, 0, 0, 32.6988, 0, 0, 0, 0, 0, 0
