
Node Current Mismatch Report


Bus,       Node, "Current Sum (A)", "%error", "Max Current (A)"
"10" .....,  1,    0.00023,         0.002519,    9.31714
"15" .....,  3,    0.00000,         0.000000,   27.61960
"16" .....,  3,    0.00023,         0.001253,   18.41667
"17" .....,  3,    0.00012,         0.001254,    9.20360
"19" .....,  1,    0.00067,         0.001781,   37.42083
"21" .....,  1,    0.00000,         0.000000,   55.96657
"   -"    ,  2,    0.00000,         0.000000,   19.10295
"   -"    ,  3,    0.00000,         0.000000,   55.75795
"20" .....,  1,    0.00067,         0.003589,   18.63443
"22" .....,  2,    0.00035,         0.001849,   19.10379
"23" .....,  1,    0.00000,         0.000000,   55.96689
"   -"    ,  2,    0.00000,         0.000001,    0.00389
"   -"    ,  3,    0.00000,         0.000000,   55.75840
"24" .....,  3,    0.00025,         0.001366,   18.57886
"25" .....,  1,    0.00000,         0.000000,   55.96725
"   -"    ,  2,    0.00000,         0.000000,    0.00309
"   -"    ,  3,    0.00000,         0.000000,   37.18054
"25r" ....,  1,    0.00000,         0.000000,   18.63349
"   -"    ,  3,    0.00000,         0.000000,   18.59082
"26" .....,  1,    0.00000,         0.000000,   18.63376
"   -"    ,  3,    0.00000,         0.000000,   18.59178
"28" .....,  1,    0.00067,         0.001803,   37.10111
"   -"    ,  2,    0.00000,         0.000001,    0.00250
"   -"    ,  3,    0.00000,         0.000000,   18.59008
"27" .....,  1,    0.00000,         0.000000,   18.63398
"   -"    ,  3,    0.00000,              0.0,    0.00000
"31" .....,  3,    0.00013,         0.000688,   18.59199
"33" .....,  1,    0.00068,         0.003665,   18.63444
"29" .....,  1,    0.00067,         0.003621,   18.46726
"   -"    ,  2,    0.00000,         0.000001,    0.00162
"   -"    ,  3,    0.00000,         0.000000,   18.59062
"30" .....,  1,    0.00000,         0.000005,    0.00068
"   -"    ,  2,    0.00000,         0.000003,    0.00059
"   -"    ,  3,    0.00026,         0.001375,   18.59159
"250" ....,  1,    0.00000,              0.0,    0.00000
"   -"    ,  2,    0.00000,              0.0,    0.00000
"   -"    ,  3,    0.00000,              0.0,    0.00000
"32" .....,  3,    0.00013,         0.001375,    9.29796
"35" .....,  1,    0.00011,         0.000084,  135.87094
"   -"    ,  2,    0.00011,         0.000084,  136.58350
"   -"    ,  3,    0.00000,         0.000000,   98.17245
"36" .....,  1,    0.00000,         0.000000,   18.42419
"   -"    ,  2,    0.00000,         0.000000,   18.42808
"40" .....,  1,    0.00000,         0.000000,  108.72254
"   -"    ,  2,    0.00000,         0.000000,  108.37607
"   -"    ,  3,    0.00000,         0.000000,   98.17280
"37" .....,  1,    0.00067,         0.003646,   18.42446
"38" .....,  2,    0.00018,         0.000975,   18.42831
"39" .....,  2,    0.00018,         0.001977,    9.11203
"41" .....,  3,    0.00013,         0.001393,    9.27816
"42" .....,  1,    0.00034,         0.000316,  108.72306
"   -"    ,  2,    0.00000,         0.000000,  108.37650
"   -"    ,  3,    0.00000,         0.000000,   88.94340
"43" .....,  2,    0.00037,         0.001922,   19.01439
"44" .....,  1,    0.00000,         0.000000,   99.34186
"   -"    ,  2,    0.00000,         0.000000,   89.55711
"   -"    ,  3,    0.00000,         0.000000,   88.94368
"45" .....,  1,    0.00035,         0.001852,   18.77316
"47" .....,  1,    0.00067,         0.000830,   80.71555
"   -"    ,  2,    0.00036,         0.000398,   89.55755
"   -"    ,  3,    0.00025,         0.000286,   88.94403
"46" .....,  1,    0.00035,         0.003689,    9.45621
"48" .....,  1,    0.00134,         0.003800,   35.25145
"   -"    ,  2,    0.00071,         0.001953,   36.49485
"   -"    ,  3,    0.00051,         0.001416,   35.85012
"49" .....,  1,    0.00067,         0.002447,   27.58153
"   -"    ,  2,    0.00072,         0.002045,   35.15996
"   -"    ,  3,    0.00024,         0.000679,   35.36623
"50" .....,  1,    0.00000,         0.000000,    9.46139
"   -"    ,  2,    0.00000,         0.000000,    0.00237
"   -"    ,  3,    0.00027,         0.001434,   18.61086
"51" .....,  1,    0.00035,         0.003722,    9.46149
"   -"    ,  2,    0.00000,         0.000002,    0.00158
"   -"    ,  3,    0.00000,         0.000001,    0.00160
"151" ....,  1,    0.00000,              0.0,    0.00000
"   -"    ,  2,    0.00000,              0.0,    0.00000
"   -"    ,  3,    0.00000,              0.0,    0.00000
"52" .....,  1,    0.00079,         0.000239,  333.28144
"   -"    ,  2,    0.00000,         0.000000,  245.43246
"   -"    ,  3,    0.00000,         0.000000,  265.58238
"53" .....,  1,    0.00088,         0.000280,  315.19118
"   -"    ,  2,    0.00000,         0.000000,  245.43250
"   -"    ,  3,    0.00000,         0.000000,  265.58241
"54" .....,  1,    0.00000,         0.000000,  297.14354
"   -"    ,  2,    0.00000,         0.000000,  245.43253
"   -"    ,  3,    0.00000,         0.000000,  265.58250
"55" .....,  1,    0.00047,         0.005052,    9.23972
"   -"    ,  2,    0.00000,         0.000000,    9.06349
"   -"    ,  3,    0.00000,         0.000002,    0.00080
"57" .....,  1,    0.00000,         0.000000,  288.29185
"   -"    ,  2,    0.00000,         0.000000,  236.86600
"   -"    ,  3,    0.00000,         0.000000,  265.58254
"56" .....,  1,    0.00000,              0.0,    0.00000
"   -"    ,  2,    0.00026,         0.002835,    9.06411
"   -"    ,  3,    0.00000,              0.0,    0.00000
"58" .....,  2,    0.00029,         0.001582,   18.41152
"60" .....,  1,    0.00069,         0.000240,  288.29206
"   -"    ,  2,    0.00000,         0.000000,  219.61052
"   -"    ,  3,    0.00000,         0.000000,  265.58259
"59" .....,  2,    0.00029,         0.003210,    9.09539
"61" .....,  1,    0.00000,         0.476354,    0.00001
"   -"    ,  2,    0.00000,         3.668955,    0.00001
"   -"    ,  3,    0.00000,         1.309386,    0.00001
"62" .....,  1,    0.00000,         0.000000,   45.32671
"   -"    ,  2,    0.00000,         0.000000,   52.15761
"   -"    ,  3,    0.00054,         0.000672,   80.68835
"63" .....,  1,    0.00140,         0.003086,   45.32993
"   -"    ,  2,    0.00000,         0.000000,   52.16022
"   -"    ,  3,    0.00000,         0.000000,   62.10533
"64" .....,  1,    0.00000,         0.000000,   26.95685
"   -"    ,  2,    0.00136,         0.002603,   52.16542
"   -"    ,  3,    0.00000,         0.000000,   62.10986
"65" .....,  1,    0.00078,         0.002881,   26.96596
"   -"    ,  2,    0.00022,         0.001213,   17.88830
"   -"    ,  3,    0.00060,         0.000965,   62.11535
"66" .....,  1,    0.00000,              0.0,    0.00000
"   -"    ,  2,    0.00000,              0.0,    0.00000
"   -"    ,  3,    0.00100,         0.002881,   34.83733
"67" .....,  1,    0.00000,         0.000000,  229.48771
"   -"    ,  2,    0.00000,         0.000000,  170.92836
"   -"    ,  3,    0.00000,         0.000000,  185.72018
"68" .....,  1,    0.00081,         0.001477,   54.51794
"72" .....,  1,    0.00000,         0.000000,  118.52813
"   -"    ,  2,    0.00000,         0.000000,  126.09541
"   -"    ,  3,    0.00000,         0.000000,  132.95511
"97" .....,  1,    0.00000,         0.000000,   82.95746
"   -"    ,  2,    0.00000,         0.000001,   54.27597
"   -"    ,  3,    0.00000,         0.000001,   64.62803
"69" .....,  1,    0.00165,         0.003621,   45.45245
"70" .....,  1,    0.00084,         0.003062,   27.28996
"71" .....,  1,    0.00169,         0.009261,   18.19767
"73" .....,  3,    0.00063,         0.001141,   55.45241
"76" .....,  1,    0.00151,         0.001273,  118.52784
"   -"    ,  2,    0.00085,         0.000673,  126.09534
"   -"    ,  3,    0.00074,         0.000743,   99.63413
"74" .....,  3,    0.00063,         0.001694,   37.29690
"75" .....,  3,    0.00063,         0.003468,   18.20685
"77" .....,  1,    0.00000,         0.000000,   77.17127
"   -"    ,  2,    0.00084,         0.001054,   79.91298
"   -"    ,  3,    0.00000,         0.000000,   76.90915
"86" .....,  1,    0.00000,         0.000000,   32.86198
"   -"    ,  2,    0.00043,         0.000747,   57.67330
"   -"    ,  3,    0.00000,         0.000000,   20.97943
"78" .....,  1,    0.00000,         0.000000,   79.80408
"   -"    ,  2,    0.00000,         0.000000,   79.91269
"   -"    ,  3,    0.00000,         0.000000,   76.90885
"79" .....,  1,    0.00167,         0.008706,   19.20809
"   -"    ,  2,    0.00000,              0.0,    0.00000
"   -"    ,  3,    0.00000,              0.0,    0.00000
"80" .....,  1,    0.00000,         0.000000,   79.80252
"   -"    ,  2,    0.00086,         0.000995,   86.30577
"   -"    ,  3,    0.00000,         0.000000,   76.90669
"81" .....,  1,    0.00000,         0.000000,   79.80194
"   -"    ,  2,    0.00000,         0.000000,   86.30525
"   -"    ,  3,    0.00000,         0.000000,   82.30281
"82" .....,  1,    0.00172,         0.001995,   86.20579
"   -"    ,  2,    0.00000,         0.000000,   86.30451
"   -"    ,  3,    0.00000,         0.000000,   82.30193
"84" .....,  3,    0.00034,         0.001250,   27.19483
"83" .....,  1,    0.00000,         0.000000,   86.20497
"   -"    ,  2,    0.00000,         0.000000,   86.30377
"   -"    ,  3,    0.00035,         0.000402,   85.93901
"85" .....,  3,    0.00068,         0.003745,   18.13734
"87" .....,  1,    0.00000,         0.000000,   32.86155
"   -"    ,  2,    0.00088,         0.001792,   49.21587
"   -"    ,  3,    0.00000,         0.000000,   20.97851
"88" .....,  1,    0.00175,         0.008173,   21.38515
"89" .....,  1,    0.00000,         0.000000,   18.15281
"   -"    ,  2,    0.00000,         0.000000,   33.26107
"   -"    ,  3,    0.00000,         0.000000,   20.97795
"90" .....,  2,    0.00089,         0.004168,   21.37663
"91" .....,  1,    0.00000,         0.000000,   18.15305
"   -"    ,  2,    0.00000,         0.000000,   18.14336
"   -"    ,  3,    0.00000,         0.000000,   20.97749
"92" .....,  3,    0.00070,         0.003263,   21.45608
"93" .....,  1,    0.00000,         0.000000,   18.15360
"   -"    ,  2,    0.00000,         0.000000,   18.14370
"   -"    ,  3,    0.00000,         0.000002,    0.00106
"94" .....,  1,    0.00178,         0.009809,   18.15386
"95" .....,  1,    0.00000,              0.0,    0.00000
"   -"    ,  2,    0.00045,         0.002480,   18.14414
"   -"    ,  3,    0.00000,              0.0,    0.00000
"96" .....,  2,    0.00045,         0.004967,    9.07375
"98" .....,  1,    0.00162,         0.008928,   18.12445
"   -"    ,  2,    0.00000,         0.000000,   18.07708
"   -"    ,  3,    0.00000,         0.000000,   19.13586
"99" .....,  1,    0.00000,         0.000001,    0.00326
"   -"    ,  2,    0.00081,         0.004503,   18.08096
"   -"    ,  3,    0.00000,         0.000000,   19.13659
"100" ....,  1,    0.00000,         0.000000,    0.00237
"   -"    ,  2,    0.00000,         0.000001,    0.00262
"   -"    ,  3,    0.00063,         0.003305,   19.13790
"450" ....,  1,    0.00000,              0.0,    0.00000
"   -"    ,  2,    0.00000,              0.0,    0.00000
"   -"    ,  3,    0.00000,              0.0,    0.00000
"197" ....,  1,    0.00000,         0.000000,   64.83419
"   -"    ,  2,    0.00000,         0.000003,   36.19941
"   -"    ,  3,    0.00000,         0.000000,   45.49254
"101" ....,  1,    0.00000,         0.000000,   64.83448
"   -"    ,  2,    0.00000,         0.000000,   36.19988
"   -"    ,  3,    0.00000,         0.000000,   45.49499
"102" ....,  3,    0.00032,         0.000699,   45.49520
"105" ....,  1,    0.00000,         0.000000,   64.83480
"   -"    ,  2,    0.00000,         0.000000,   36.20285
"   -"    ,  3,    0.00000,         0.000000,    0.00466
"103" ....,  3,    0.00064,         0.001745,   36.41456
"104" ....,  3,    0.00063,         0.003483,   18.22365
"106" ....,  2,    0.00083,         0.002302,   36.20306
"108" ....,  1,    0.00000,         0.000000,   64.83636
"   -"    ,  2,    0.00000,         0.000000,    0.00328
"   -"    ,  3,    0.00000,         0.000000,    0.00352
"107" ....,  2,    0.00084,         0.004646,   18.11559
"109" ....,  1,    0.00173,         0.002665,   64.83678
"300" ....,  1,    0.00000,              0.0,    0.00000
"   -"    ,  2,    0.00000,              0.0,    0.00000
"   -"    ,  3,    0.00000,              0.0,    0.00000
"110" ....,  1,    0.00000,         0.000000,   46.57709
"111" ....,  1,    0.00088,         0.009626,    9.15443
"112" ....,  1,    0.00088,         0.002340,   37.42332
"113" ....,  1,    0.00176,         0.006273,   28.10618
"114" ....,  1,    0.00089,         0.009656,    9.17630
"135" ....,  1,    0.00000,         0.000000,  135.87076
"   -"    ,  2,    0.00000,         0.000000,  136.58250
"   -"    ,  3,    0.00000,         0.000001,   98.17197
"152" ....,  1,    0.00000,         0.000000,  333.28099
"   -"    ,  2,    0.00000,         0.000000,  245.43237
"   -"    ,  3,    0.00000,         0.000000,  265.58232
"160r" ...,  1,    0.00000,         0.000000,  229.48782
"   -"    ,  2,    0.00000,         0.000000,  170.92834
"   -"    ,  3,    0.00000,         0.000000,  185.72013
"160" ....,  1,    0.00000,         0.000000,  240.96221
"   -"    ,  2,    0.00000,         0.000000,  173.06494
"   -"    ,  3,    0.00000,         0.000000,  191.52389
"61s" ....,  1,    0.00000,         1.912895,    0.00001
"   -"    ,  2,    0.00000,         2.039097,    0.00001
"   -"    ,  3,    0.00000,         3.938790,    0.00001
"300_open",  1,    0.00000,              0.0,    0.00000
"   -"    ,  2,    0.00000,              0.0,    0.00000
"   -"    ,  3,    0.00000,              0.0,    0.00000
"94_open" ,  1,    0.00000,              0.0,    0.00000
"610" ....,  1,    0.00000,              0.0,    0.00000
"   -"    ,  2,    0.00000,              0.0,    0.00000
"   -"    ,  3,    0.00000,              0.0,    0.00000
