
VOLTAGES ACROSS CIRCUIT ELEMENTS WITH 2 TERMINALS

Source Elements

Element,          Conductor,     Volts,   Percent,           kVBase,  Angle
Line.l24         ,     3,          1.8619,     0.077523,       2.4018,  117.1

Line.l25         ,     1,           1.078,     0.044884,       2.4018,   56.1
Line.l25         ,     2,          1.1207,     0.046661,       2.4018,  134.6

Line.l26         ,     1,          1.2421,     0.051717,       2.4018,   45.4
Line.l26         ,     2,         0.50861,     0.021176,       2.4018,   66.7
Line.l26         ,     3,         0.73265,     0.030505,       2.4018,  105.2

Line.l27         ,     1,         0.99559,     0.041452,       2.4018,   35.4
Line.l27         ,     2,         0.36239,     0.015088,       2.4018,   38.4

Line.l28         ,     1,          1.3959,      0.05812,       2.4018,  133.4

Line.l29         ,     1,          3.1007,       0.1291,       2.4018,   12.3

Line.l30         ,     1,         0.84655,     0.035247,       2.4018,   59.7
Line.l30         ,     2,         0.41968,     0.017474,       2.4018,   94.6
Line.l30         ,     3,         0.98198,     0.040886,       2.4018,  130.7

Line.l31         ,     1,         0.54811,     0.022821,       2.4018,  163.0
Line.l31         ,     2,          0.4585,      0.01909,       2.4018,  159.5
Line.l31         ,     3,          1.2597,     0.052447,       2.4018,  156.5

Line.l32         ,     1,     5.9229E-006,   2.466E-007,       2.4018,  142.0
Line.l32         ,     2,     6.0778E-006,  2.5305E-007,       2.4018,   29.8
Line.l32         ,     3,     6.0289E-006,  2.5102E-007,       2.4018,  -87.3

Line.l33         ,     1,         0.93078,     0.038754,       2.4018,  133.4

Line.l34         ,     1,         0.91709,     0.038184,       2.4018,  133.5

Line.l35         ,     1,          2.1072,     0.087734,       2.4018,   14.3
Line.l35         ,     2,          1.9843,     0.082618,       2.4018,  -63.0

Line.l36         ,     1,          3.4259,      0.14264,       2.4018,   18.4
Line.l36         ,     2,          3.0028,      0.12502,       2.4018,  -92.1
Line.l36         ,     3,          2.6703,      0.11118,       2.4018,  152.2

Line.l37         ,     1,          1.8481,     0.076948,       2.4018,   12.4

Line.l38         ,     1,          1.5337,     0.063856,       2.4018, -106.7

Line.l39         ,     1,         0.98613,     0.041059,       2.4018, -106.7

Line.l40         ,     1,          1.0002,     0.041646,       2.4018,  133.4

Line.l41         ,     1,          3.5546,        0.148,       2.4018,   16.8
Line.l41         ,     2,          3.0602,      0.12741,       2.4018,  -88.8
Line.l41         ,     3,          2.2259,     0.092679,       2.4018,  151.4

Line.l42         ,     1,          3.1621,      0.13165,       2.4018, -106.8

Line.l43         ,     1,          2.5283,      0.10527,       2.4018,   21.4
Line.l43         ,     2,          1.8384,     0.076544,       2.4018,  -94.1
Line.l43         ,     3,          2.0252,      0.08432,       2.4018,  148.4

Line.l44         ,     1,          1.2463,     0.051889,       2.4018,   12.3

Line.l45         ,     1,          2.2886,     0.095286,       2.4018,   15.9
Line.l45         ,     2,          2.5974,      0.10815,       2.4018, -100.2
Line.l45         ,     3,          2.6628,      0.11087,       2.4018,  155.1

Line.l46         ,     1,         0.93921,     0.039105,       2.4018,   12.3

Line.l47         ,     1,          0.6385,     0.026584,       2.4018,   19.0
Line.l47         ,     2,         0.63475,     0.026428,       2.4018, -101.3
Line.l47         ,     3,         0.59891,     0.024936,       2.4018,  151.2

Line.l48         ,     1,         0.63035,     0.026245,       2.4018,   17.2
Line.l48         ,     2,          1.1896,     0.049529,       2.4018, -108.4
Line.l48         ,     3,          1.1181,     0.046554,       2.4018,  167.2

Line.l49         ,     1,         0.38062,     0.015848,       2.4018,   80.2
Line.l49         ,     2,         0.33041,     0.013757,       2.4018,  134.8
Line.l49         ,     3,         0.83578,     0.034798,       2.4018,  146.2

Line.l50         ,     1,         0.45341,     0.018878,       2.4018,   34.9
Line.l50         ,     2,         0.18471,    0.0076904,       2.4018,   40.0
Line.l50         ,     3,         0.16636,    0.0069266,       2.4018,   38.4

Line.l51         ,     1,     9.6918E-005,  4.0353E-006,       2.4018,  148.8
Line.l51         ,     2,      0.00010179,  4.2381E-006,       2.4018,   28.7
Line.l51         ,     3,     8.7757E-005,  3.6538E-006,       2.4018,  -93.4

Line.l52         ,     1,          8.5473,      0.35588,       2.4018,   44.3
Line.l52         ,     2,          4.8267,      0.20096,       2.4018,  -59.2
Line.l52         ,     3,          5.7432,      0.23912,       2.4018,  170.0

Line.l53         ,     1,          4.8946,      0.20379,       2.4018,   45.1
Line.l53         ,     2,           3.061,      0.12745,       2.4018,  -62.8
Line.l53         ,     3,          3.7011,       0.1541,       2.4018,  171.9

Line.l54         ,     1,         0.45872,     0.019099,       2.4018,   10.2
Line.l54         ,     2,         0.38656,     0.016095,       2.4018,  -58.4
Line.l54         ,     3,         0.19601,    0.0081612,       2.4018,  -24.2

Line.l55         ,     1,          12.474,      0.51937,       2.4018,   53.1
Line.l55         ,     2,          9.6042,      0.39988,       2.4018,  -70.5
Line.l55         ,     3,           9.786,      0.40745,       2.4018,  166.8

Line.l56         ,     1,         0.21117,    0.0087921,       2.4018,  -77.2
Line.l56         ,     2,         0.47519,     0.019785,       2.4018,  -85.0
Line.l56         ,     3,         0.19604,    0.0081622,       2.4018,  -79.1

Line.l57         ,     1,          1.5333,     0.063839,       2.4018, -106.9

Line.l58         ,     1,          27.418,       1.1416,       2.4018,   54.6
Line.l58         ,     2,          17.979,      0.74857,       2.4018,  -68.5
Line.l58         ,     3,          21.504,      0.89535,       2.4018,  164.0

Line.l59         ,     1,         0.75814,     0.031566,       2.4018, -106.9

Line.l60         ,     1,     4.5206E-005,  1.8822E-006,       2.4018,  146.4
Line.l60         ,     2,     4.1961E-005,  1.7471E-006,       2.4018,   25.6
Line.l60         ,     3,     4.5324E-005,  1.8871E-006,       2.4018,  -89.9

Line.l61         ,     1,          1.7877,     0.074433,       2.4018,  -13.1
Line.l61         ,     2,          2.8508,       0.1187,       2.4018, -146.3
Line.l61         ,     3,          4.8368,      0.20138,       2.4018,  120.6

Line.l62         ,     1,          1.4647,     0.060984,       2.4018,  -23.6
Line.l62         ,     2,          2.0719,     0.086264,       2.4018, -136.6
Line.l62         ,     3,          2.3751,     0.098891,       2.4018,  123.3

Line.l63         ,     1,          1.1195,      0.04661,       2.4018,  -55.6
Line.l63         ,     2,          4.6514,      0.19366,       2.4018, -143.2
Line.l63         ,     3,          5.2163,      0.21718,       2.4018,  128.7

Line.l64         ,     1,          1.6276,     0.067764,       2.4018,    7.9
Line.l64         ,     2,          1.9218,     0.080015,       2.4018,  169.1
Line.l64         ,     3,          7.0201,      0.29229,       2.4018,  116.3

Line.l65         ,     1,          1.1288,        0.047,       2.4018,  113.9
Line.l65         ,     2,          1.2239,     0.050959,       2.4018,  117.7
Line.l65         ,     3,          3.5319,      0.14705,       2.4018,  115.8

Line.l66         ,     1,          3.6299,      0.15113,       2.4018,   11.2

Line.l67         ,     1,          3.5827,      0.14917,       2.4018,   96.3
Line.l67         ,     2,          4.1822,      0.17413,       2.4018,  -60.5
Line.l67         ,     3,          4.5608,      0.18989,       2.4018, -164.6

Line.l68         ,     1,          2.8393,      0.11822,       2.4018,   36.7
Line.l68         ,     2,          1.3257,     0.055197,       2.4018,  -84.6
Line.l68         ,     3,          1.7643,     0.073456,       2.4018,  135.6

Line.l69         ,     1,           4.161,      0.17325,       2.4018,   11.2

Line.l70         ,     1,          2.9524,      0.12293,       2.4018,   11.2

Line.l71         ,     1,          1.6659,     0.069359,       2.4018,   11.2

Line.l72         ,     1,          5.0808,      0.21154,       2.4018,  132.3

Line.l73         ,     1,           2.354,     0.098012,       2.4018,   76.9
Line.l73         ,     2,          3.7876,       0.1577,       2.4018,  -50.9
Line.l73         ,     3,           2.221,     0.092474,       2.4018, -125.7

Line.l74         ,     1,          4.3438,      0.18086,       2.4018,  132.3

Line.l75         ,     1,          2.4325,      0.10128,       2.4018,  132.3

Line.l76         ,     1,          3.4714,      0.14453,       2.4018,  125.8
Line.l76         ,     2,          3.7914,      0.15786,       2.4018,    1.8
Line.l76         ,     3,          3.3629,      0.14002,       2.4018, -122.2

Line.l77         ,     1,          2.2378,     0.093172,       2.4018,   20.6
Line.l77         ,     2,          7.1249,      0.29665,       2.4018,  -65.9
Line.l77         ,     3,          2.9753,      0.12388,       2.4018,  -87.9

Line.l78         ,     1,          0.9832,     0.040936,       2.4018,  122.4
Line.l78         ,     2,         0.99209,     0.041306,       2.4018,   22.4
Line.l78         ,     3,         0.74171,     0.030882,       2.4018, -129.5

Line.l79         ,     1,         0.83883,     0.034925,       2.4018,   34.1
Line.l79         ,     2,         0.30534,     0.012713,       2.4018,   37.1
Line.l79         ,     3,         0.36496,     0.015196,       2.4018,   40.6

Line.l80         ,     1,          4.9449,      0.20588,       2.4018,  143.4
Line.l80         ,     2,          4.0923,      0.17038,       2.4018,   20.1
Line.l80         ,     3,          4.2842,      0.17838,       2.4018, -131.3

Line.l81         ,     1,          1.9861,     0.082694,       2.4018,  138.8
Line.l81         ,     2,          1.7681,     0.073615,       2.4018,   39.5
Line.l81         ,     3,          1.4363,     0.059802,       2.4018, -139.0

Line.l82         ,     1,          2.3164,     0.096445,       2.4018,  133.2
Line.l82         ,     2,          2.8341,        0.118,       2.4018,   30.1
Line.l82         ,     3,          1.9547,     0.081385,       2.4018, -101.3

Line.l83         ,     1,          6.1359,      0.25547,       2.4018,  132.1

Line.l84         ,     1,           2.605,      0.10846,       2.4018,  152.6
Line.l84         ,     2,          2.5178,      0.10483,       2.4018,   29.2
Line.l84         ,     3,          2.2665,     0.094369,       2.4018, -107.3

Line.l85         ,     1,          2.8797,       0.1199,       2.4018,  132.1

Line.l86         ,     1,          1.4814,     0.061678,       2.4018,   31.0
Line.l86         ,     2,          3.7608,      0.15659,       2.4018,  -61.9
Line.l86         ,     3,           1.405,       0.0585,       2.4018,  -95.8

Line.l87         ,     1,          1.2202,     0.050804,       2.4018,   76.9

Line.l88         ,     1,         0.96155,     0.040035,       2.4018,  -17.3
Line.l88         ,     2,          1.8289,     0.076149,       2.4018,  -53.3
Line.l88         ,     3,         0.93573,      0.03896,       2.4018,  -90.9

Line.l89         ,     1,          1.7592,     0.073246,       2.4018,  -43.3

Line.l90         ,     1,         0.45028,     0.018748,       2.4018,  -17.4
Line.l90         ,     2,         0.87595,     0.036471,       2.4018,  -87.6
Line.l90         ,     3,         0.76192,     0.031723,       2.4018, -119.2

Line.l91         ,     1,          2.0914,     0.087076,       2.4018, -162.0

Line.l92         ,     1,         0.71642,     0.029829,       2.4018,   12.9
Line.l92         ,     2,         0.67805,     0.028231,       2.4018,  -64.2
Line.l92         ,     3,         0.32959,     0.013723,       2.4018,  -16.0

Line.l93         ,     1,          1.6623,     0.069211,       2.4018,   11.1

Line.l94         ,     1,         0.38546,     0.016049,       2.4018,  -81.8
Line.l94         ,     2,          1.0504,     0.043733,       2.4018,  -85.3
Line.l94         ,     3,         0.42772,     0.017808,       2.4018,  -80.2

Line.l95         ,     1,         0.60471,     0.025178,       2.4018, -107.9

Line.l96         ,     1,         0.56762,     0.023633,       2.4018,   35.1
Line.l96         ,     2,         0.61379,     0.025556,       2.4018,  -94.3
Line.l96         ,     3,         0.57189,     0.023811,       2.4018,  152.1

Line.l97         ,     1,         0.78738,     0.032783,       2.4018, -148.1
Line.l97         ,     2,          1.7761,     0.073951,       2.4018, -111.6
Line.l97         ,     3,          1.6201,     0.067456,       2.4018,  178.4

Line.l98         ,     1,         0.44898,     0.018694,       2.4018,  160.1
Line.l98         ,     2,         0.48353,     0.020132,       2.4018,  162.0
Line.l98         ,     3,          1.0882,     0.045307,       2.4018,  154.2

Line.l99         ,     1,     9.6517E-005,  4.0186E-006,       2.4018,  146.9
Line.l99         ,     2,      0.00010003,  4.1649E-006,       2.4018,   31.6
Line.l99         ,     3,     9.6706E-005,  4.0265E-006,       2.4018,  -97.1

Line.l100        ,     1,          3.4185,      0.14233,       2.4018,  132.4

Line.l101        ,     1,          3.2023,      0.13333,       2.4018,   22.1
Line.l101        ,     2,          1.6696,     0.069516,       2.4018,  -44.4
Line.l101        ,     3,          1.2693,     0.052847,       2.4018,    2.3

Line.l102        ,     1,          3.9522,      0.16455,       2.4018,  132.4

Line.l103        ,     1,          4.2598,      0.17736,       2.4018,  132.4

Line.l104        ,     1,          2.7146,      0.11303,       2.4018, -107.5

Line.l105        ,     1,          4.0606,      0.16907,       2.4018,   33.6
Line.l105        ,     2,          1.4903,     0.062051,       2.4018,   37.1
Line.l105        ,     3,          1.6534,      0.06884,       2.4018,   38.7

Line.l106        ,     1,           3.471,      0.14452,       2.4018, -107.5

Line.l107        ,     1,          9.7095,      0.40426,       2.4018,   11.0

Line.l108        ,     1,      0.00015002,  6.2462E-006,       2.4018,  146.7
Line.l108        ,     2,      0.00015676,   6.527E-006,       2.4018,   31.5
Line.l108        ,     3,      0.00015108,  6.2902E-006,       2.4018,  -96.9

Line.l109        ,     1,          4.6502,      0.19361,       2.4018,   11.0

Line.l110        ,     1,          1.7513,     0.072917,       2.4018,   11.0

Line.l111        ,     1,          1.5569,     0.064822,       2.4018,   11.0

Line.l112        ,     1,           4.911,      0.20447,       2.4018,   11.0

Line.l113        ,     1,         0.99212,     0.041308,       2.4018,   11.0

Line.l114        ,     1,          6.5944,      0.27456,       2.4018,   21.5
Line.l114        ,     2,          6.0929,      0.25368,       2.4018,  -92.2
Line.l114        ,     3,          3.2456,      0.13513,       2.4018,  156.7

Line.l116        ,     1,          18.526,      0.77136,       2.4018,   43.6
Line.l116        ,     2,            9.55,      0.39762,       2.4018,  -55.5
Line.l116        ,     3,          11.145,      0.46402,       2.4018,  168.0

Line.l117        ,     1,          10.372,      0.43184,       2.4018,   59.0
Line.l117        ,     2,          6.7761,      0.28213,       2.4018,  -52.8
Line.l117        ,     3,          6.7848,      0.28249,       2.4018,  164.3

Line.l118        ,     1,          2.3235,     0.096742,       2.4018,   37.0
Line.l118        ,     2,         0.78152,     0.032539,       2.4018,  -77.6
Line.l118        ,     3,          1.2741,     0.053048,       2.4018,  129.0

Line.sw1         ,     1,      0.00062855,   2.617E-005,       2.4018,  -21.3
Line.sw1         ,     2,      0.00040938,  1.7045E-005,       2.4018, -139.3
Line.sw1         ,     3,      0.00050204,  2.0903E-005,       2.4018,  101.7

Line.sw2         ,     1,      0.00033169,   1.381E-005,       2.4018,  -13.9
Line.sw2         ,     2,      0.00024572,  1.0231E-005,       2.4018, -128.9
Line.sw2         ,     3,      0.00026482,  1.1026E-005,       2.4018,  112.2

Line.sw3         ,     1,       0.0001359,  5.6582E-006,       2.4018,  -31.0
Line.sw3         ,     2,      0.00013655,  5.6853E-006,       2.4018, -155.8
Line.sw3         ,     3,     9.8144E-005,  4.0863E-006,       2.4018,   86.9

Line.sw4         ,     1,       0.0002396,  9.9759E-006,       2.4018,   -5.6
Line.sw4         ,     2,      0.00017329,   7.215E-006,       2.4018, -119.7
Line.sw4         ,     3,      0.00019064,  7.9376E-006,       2.4018,  120.3

Line.sw5         ,     1,     6.4833E-005,  2.6994E-006,       2.4018,  -29.9
Line.sw5         ,     2,     3.6251E-005,  1.5093E-006,       2.4018, -148.4
Line.sw5         ,     3,     4.5652E-005,  1.9008E-006,       2.4018,   91.5

Line.sw6         ,     1,     1.3749E-011,  5.7247E-013,       2.4018,  -91.9
Line.sw6         ,     2,     1.4077E-011,  5.8611E-013,       2.4018,  148.9
Line.sw6         ,     3,     1.3847E-011,  5.7655E-013,       2.4018,   29.5

Line.sw7         ,     1,               0,            0,       2.4018,    0.0
Line.sw7         ,     2,               0,            0,       2.4018,    0.0
Line.sw7         ,     3,               0,            0,       2.4018,    0.0

Line.sw8         ,     1,               0,            0,       2.4018,    0.0

Transformer.xfm1 ,     1,            2095,            0,       2.4018,   -3.0
Transformer.xfm1 ,     2,          2166.8,            0,       2.4018, -121.6
Transformer.xfm1 ,     3,          2125.2,            0,       2.4018,  118.3





Transformer.reg2a,     1,          15.182,       0.6321,       2.4018,   -1.2

Transformer.reg3a,     1,          14.936,      0.62189,       2.4018,  178.0

Transformer.reg4a,     1,           103.7,       4.3176,       2.4018,  177.1

Transformer.reg3c,     1,          15.108,      0.62903,       2.4018,  119.1

Transformer.reg4b,     1,          30.565,       1.2726,       2.4018,   58.3

Transformer.reg4c,     1,          60.113,       2.5029,       2.4018,  -61.8

= = = = = = = = = = = = = = = = = = =  = = = = = = = = = = =  = =

Power Conversion Elements

Element,          Conductor,     Volts,   Percent,           kVBase,  Angle

