
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"17.3"             ,    0.00000,  2.45512E+0003,  2.40178E+0003
"19.1"             ,    0.00000,  2.41451E+0003,  2.40178E+0003
"21.1"             ,    0.00000,  2.41628E+0003,  2.40178E+0003
"21.2"             ,    0.00000,  2.47239E+0003,  2.40178E+0003
"21.3"             ,    0.00000,  2.43902E+0003,  2.40178E+0003
"20.1"             ,    0.00000,  2.41243E+0003,  2.40178E+0003
"22.2"             ,    0.00000,  2.46893E+0003,  2.40178E+0003
"23.1"             ,    0.00000,  2.41520E+0003,  2.40178E+0003
"23.2"             ,    0.00000,  2.47337E+0003,  2.40178E+0003
"23.3"             ,    0.00000,  2.43633E+0003,  2.40178E+0003
"24.3"             ,    0.00000,  2.43286E+0003,  2.40178E+0003
"25.1"             ,    0.00000,  2.41354E+0003,  2.40178E+0003
"25.2"             ,    0.00000,  2.47454E+0003,  2.40178E+0003
"25.3"             ,    0.00000,  2.43424E+0003,  2.40178E+0003
"25r.1"            ,    0.00000,  2.42862E+0003,  2.40178E+0003
"25r.3"            ,    0.00000,  2.43423E+0003,  2.40178E+0003
"26.1"             ,    0.00000,  2.42800E+0003,  2.40178E+0003
"26.3"             ,    0.00000,  2.43304E+0003,  2.40178E+0003
"28.1"             ,    0.00000,  2.41261E+0003,  2.40178E+0003
"28.2"             ,    0.00000,  2.47513E+0003,  2.40178E+0003
"28.3"             ,    0.00000,  2.43343E+0003,  2.40178E+0003
"27.1"             ,    0.00000,  2.42712E+0003,  2.40178E+0003
"27.3"             ,    0.00000,  2.43297E+0003,  2.40178E+0003
"31.3"             ,    0.00000,  2.43162E+0003,  2.40178E+0003
"33.1"             ,    0.00000,  2.42393E+0003,  2.40178E+0003
"29.1"             ,    0.00000,  2.41218E+0003,  2.40178E+0003
"29.2"             ,    0.00000,  2.47552E+0003,  2.40178E+0003
"29.3"             ,    0.00000,  2.43235E+0003,  2.40178E+0003
"30.1"             ,    0.00000,  2.41280E+0003,  2.40178E+0003
"30.2"             ,    0.00000,  2.47542E+0003,  2.40178E+0003
"30.3"             ,    0.00000,  2.43125E+0003,  2.40178E+0003
"250.1"            ,    0.00000,  2.41280E+0003,  2.40178E+0003
"250.2"            ,    0.00000,  2.47542E+0003,  2.40178E+0003
"250.3"            ,    0.00000,  2.43125E+0003,  2.40178E+0003
"32.3"             ,    0.00000,  2.43067E+0003,  2.40178E+0003
"35.1"             ,    0.00000,  2.41100E+0003,  2.40178E+0003
"35.2"             ,    0.00000,  2.46635E+0003,  2.40178E+0003
"36.1"             ,    0.00000,  2.40872E+0003,  2.40178E+0003
"36.2"             ,    0.00000,  2.46524E+0003,  2.40178E+0003
"35.3"             ,    0.00000,  2.43886E+0003,  2.40178E+0003
"40.1"             ,    0.00000,  2.40743E+0003,  2.40178E+0003
"40.2"             ,    0.00000,  2.46349E+0003,  2.40178E+0003
"40.3"             ,    0.00000,  2.43630E+0003,  2.40178E+0003
"37.1"             ,    0.00000,  2.40679E+0003,  2.40178E+0003
"38.2"             ,    0.00000,  2.46366E+0003,  2.40178E+0003
"39.2"             ,    0.00000,  2.46265E+0003,  2.40178E+0003
"41.3"             ,    0.00000,  2.43528E+0003,  2.40178E+0003
"42.1"             ,    0.00000,  2.40368E+0003,  2.40178E+0003
"42.2"             ,    0.00000,  2.46068E+0003,  2.40178E+0003
"42.3"             ,    0.00000,  2.43414E+0003,  2.40178E+0003
"43.2"             ,    0.00000,  2.45740E+0003,  2.40178E+0003
"44.1"             ,    0.00000,  2.40111E+0003,  2.40178E+0003
"44.2"             ,    0.00000,  2.45891E+0003,  2.40178E+0003
"44.3"             ,    0.00000,  2.43210E+0003,  2.40178E+0003
"45.1"             ,    0.00000,  2.39983E+0003,  2.40178E+0003
"47.1"             ,    0.00000,  2.39869E+0003,  2.40178E+0003
"47.2"             ,    0.00000,  2.45625E+0003,  2.40178E+0003
"47.3"             ,    0.00000,  2.42962E+0003,  2.40178E+0003
"46.1"             ,    0.00000,  2.39887E+0003,  2.40178E+0003
"48.1"             ,    0.00000,  2.39802E+0003,  2.40178E+0003
"48.2"             ,    0.00000,  2.45559E+0003,  2.40178E+0003
"48.3"             ,    0.00000,  2.42906E+0003,  2.40178E+0003
"49.1"             ,    0.00000,  2.39805E+0003,  2.40178E+0003
"49.2"             ,    0.00000,  2.45499E+0003,  2.40178E+0003
"49.3"             ,    0.00000,  2.42872E+0003,  2.40178E+0003
"50.1"             ,    0.00000,  2.39801E+0003,  2.40178E+0003
"50.2"             ,    0.00000,  2.45507E+0003,  2.40178E+0003
"50.3"             ,    0.00000,  2.42790E+0003,  2.40178E+0003
"51.1"             ,    0.00000,  2.39761E+0003,  2.40178E+0003
"51.2"             ,    0.00000,  2.45528E+0003,  2.40178E+0003
"51.3"             ,    0.00000,  2.42786E+0003,  2.40178E+0003
"151.1"            ,    0.00000,  2.39761E+0003,  2.40178E+0003
"151.2"            ,    0.00000,  2.45528E+0003,  2.40178E+0003
"151.3"            ,    0.00000,  2.42786E+0003,  2.40178E+0003
"52.1"             ,    0.00000,  2.43667E+0003,  2.40178E+0003
"52.2"             ,    0.00000,  2.48130E+0003,  2.40178E+0003
"52.3"             ,    0.00000,  2.46021E+0003,  2.40178E+0003
"53.1"             ,    0.00000,  2.43558E+0003,  2.40178E+0003
"53.2"             ,    0.00000,  2.48090E+0003,  2.40178E+0003
"53.3"             ,    0.00000,  2.46060E+0003,  2.40178E+0003
"54.1"             ,    0.00000,  2.43529E+0003,  2.40178E+0003
"54.2"             ,    0.00000,  2.48043E+0003,  2.40178E+0003
"54.3"             ,    0.00000,  2.46087E+0003,  2.40178E+0003
"55.1"             ,    0.00000,  2.43478E+0003,  2.40178E+0003
"55.2"             ,    0.00000,  2.48025E+0003,  2.40178E+0003
"55.3"             ,    0.00000,  2.46105E+0003,  2.40178E+0003
"57.1"             ,    0.00000,  2.43519E+0003,  2.40178E+0003
"57.2"             ,    0.00000,  2.47932E+0003,  2.40178E+0003
"57.3"             ,    0.00000,  2.46148E+0003,  2.40178E+0003
"56.1"             ,    0.00000,  2.43471E+0003,  2.40178E+0003
"56.2"             ,    0.00000,  2.47983E+0003,  2.40178E+0003
"56.3"             ,    0.00000,  2.46127E+0003,  2.40178E+0003
"58.2"             ,    0.00000,  2.47775E+0003,  2.40178E+0003
"57_open.1"        ,    0.52534,  6.37962E+0002,  0.00000E+0000
"57_open.2"        ,    0.53925,  7.88301E+0002,  0.00000E+0000
"57_open.3"        ,    0.51844,  5.54316E+0002,  0.00000E+0000
"60.1"             ,    0.13954,  6.37962E+0002,  2.40178E+0003
"60.2"             ,    0.17699,  7.88301E+0002,  2.40178E+0003
"60.3"             ,    0.11965,  5.54316E+0002,  2.40178E+0003
"59.2"             ,    0.00000,  2.47698E+0003,  2.40178E+0003
"61.1"             ,    0.13954,  6.37962E+0002,  2.40178E+0003
"61.2"             ,    0.17699,  7.88301E+0002,  2.40178E+0003
"61.3"             ,    0.11965,  5.54316E+0002,  2.40178E+0003
"62.1"             ,    0.13945,  6.37548E+0002,  2.40178E+0003
"62.2"             ,    0.17676,  7.87483E+0002,  2.40178E+0003
"62.3"             ,    0.11940,  5.53250E+0002,  2.40178E+0003
"63.1"             ,    0.13937,  6.37216E+0002,  2.40178E+0003
"63.2"             ,    0.17659,  7.86868E+0002,  2.40178E+0003
"63.3"             ,    0.11927,  5.52749E+0002,  2.40178E+0003
"64.1"             ,    0.13936,  6.37022E+0002,  2.40178E+0003
"64.2"             ,    0.17623,  7.85555E+0002,  2.40178E+0003
"64.3"             ,    0.11901,  5.51679E+0002,  2.40178E+0003
"65.1"             ,    0.13926,  6.36533E+0002,  2.40178E+0003
"65.2"             ,    0.17617,  7.85254E+0002,  2.40178E+0003
"65.3"             ,    0.11862,  5.50170E+0002,  2.40178E+0003
"66.1"             ,    0.13929,  6.36647E+0002,  2.40178E+0003
"66.2"             ,    0.17620,  7.85387E+0002,  2.40178E+0003
"66.3"             ,    0.11843,  5.49474E+0002,  2.40178E+0003
"67.1"             ,    0.14664,  6.70340E+0002,  2.40178E+0003
"68.1"             ,    0.14638,  6.69451E+0002,  2.40178E+0003
"67.2"             ,    0.17933,  7.98609E+0002,  2.40178E+0003
"67.3"             ,    0.12358,  5.72404E+0002,  2.40178E+0003
"72.1"             ,    0.14709,  6.72002E+0002,  2.40178E+0003
"72.2"             ,    0.17956,  7.99438E+0002,  2.40178E+0003
"72.3"             ,    0.12373,  5.73004E+0002,  2.40178E+0003
"97.1"             ,    0.14647,  6.69703E+0002,  2.40178E+0003
"97.2"             ,    0.17921,  7.98199E+0002,  2.40178E+0003
"97.3"             ,    0.12351,  5.72161E+0002,  2.40178E+0003
"69.1"             ,    0.14609,  6.68433E+0002,  2.40178E+0003
"70.1"             ,    0.14588,  6.67711E+0002,  2.40178E+0003
"71.1"             ,    0.14576,  6.67304E+0002,  2.40178E+0003
"73.3"             ,    0.12344,  5.71886E+0002,  2.40178E+0003
"76.1"             ,    0.14743,  6.73267E+0002,  2.40178E+0003
"76.2"             ,    0.17967,  7.99815E+0002,  2.40178E+0003
"76.3"             ,    0.12394,  5.73843E+0002,  2.40178E+0003
"74.3"             ,    0.12320,  5.70909E+0002,  2.40178E+0003
"75.3"             ,    0.12305,  5.70402E+0002,  2.40178E+0003
"77.1"             ,    0.14759,  6.74073E+0002,  2.40178E+0003
"77.2"             ,    0.17988,  8.00860E+0002,  2.40178E+0003
"77.3"             ,    0.12400,  5.74262E+0002,  2.40178E+0003
"86.1"             ,    0.14752,  6.73696E+0002,  2.40178E+0003
"86.2"             ,    0.17924,  7.98473E+0002,  2.40178E+0003
"86.3"             ,    0.12392,  5.73892E+0002,  2.40178E+0003
"78.1"             ,    0.14762,  6.74234E+0002,  2.40178E+0003
"78.2"             ,    0.17996,  8.01210E+0002,  2.40178E+0003
"78.3"             ,    0.12402,  5.74378E+0002,  2.40178E+0003
"79.1"             ,    0.14758,  6.74032E+0002,  2.40178E+0003
"79.2"             ,    0.17995,  8.01192E+0002,  2.40178E+0003
"79.3"             ,    0.12405,  5.74490E+0002,  2.40178E+0003
"80.1"             ,    0.14785,  6.75426E+0002,  2.40178E+0003
"80.2"             ,    0.18033,  8.02908E+0002,  2.40178E+0003
"80.3"             ,    0.12407,  5.74695E+0002,  2.40178E+0003
"81.1"             ,    0.14791,  6.75794E+0002,  2.40178E+0003
"81.2"             ,    0.18051,  8.03688E+0002,  2.40178E+0003
"81.3"             ,    0.12410,  5.74832E+0002,  2.40178E+0003
"82.1"             ,    0.14801,  6.76359E+0002,  2.40178E+0003
"82.2"             ,    0.18074,  8.04681E+0002,  2.40178E+0003
"82.3"             ,    0.12420,  5.75264E+0002,  2.40178E+0003
"84.3"             ,    0.12373,  5.73542E+0002,  2.40178E+0003
"83.1"             ,    0.14816,  6.77110E+0002,  2.40178E+0003
"83.2"             ,    0.18097,  8.05692E+0002,  2.40178E+0003
"83.3"             ,    0.12427,  5.75591E+0002,  2.40178E+0003
"85.3"             ,    0.12356,  5.72937E+0002,  2.40178E+0003
"87.1"             ,    0.14755,  6.73871E+0002,  2.40178E+0003
"87.2"             ,    0.17902,  7.97801E+0002,  2.40178E+0003
"87.3"             ,    0.12394,  5.74019E+0002,  2.40178E+0003
"88.1"             ,    0.14753,  6.73875E+0002,  2.40178E+0003
"89.1"             ,    0.14752,  6.73737E+0002,  2.40178E+0003
"89.2"             ,    0.17898,  7.97757E+0002,  2.40178E+0003
"89.3"             ,    0.12393,  5.74040E+0002,  2.40178E+0003
"90.2"             ,    0.17895,  7.97763E+0002,  2.40178E+0003
"91.1"             ,    0.14747,  6.73557E+0002,  2.40178E+0003
"91.2"             ,    0.17894,  7.97600E+0002,  2.40178E+0003
"91.3"             ,    0.12396,  5.74192E+0002,  2.40178E+0003
"92.3"             ,    0.12393,  5.74196E+0002,  2.40178E+0003
"93.1"             ,    0.14745,  6.73482E+0002,  2.40178E+0003
"93.2"             ,    0.17888,  7.97387E+0002,  2.40178E+0003
"93.3"             ,    0.12397,  5.74260E+0002,  2.40178E+0003
"94.1"             ,    0.14733,  6.73071E+0002,  2.40178E+0003
"95.1"             ,    0.14749,  6.73603E+0002,  2.40178E+0003
"95.2"             ,    0.17880,  7.97124E+0002,  2.40178E+0003
"95.3"             ,    0.12396,  5.74228E+0002,  2.40178E+0003
"96.2"             ,    0.17875,  7.96947E+0002,  2.40178E+0003
"98.1"             ,    0.14644,  6.69586E+0002,  2.40178E+0003
"98.2"             ,    0.17916,  7.98054E+0002,  2.40178E+0003
"98.3"             ,    0.12348,  5.72020E+0002,  2.40178E+0003
"99.1"             ,    0.14649,  6.69754E+0002,  2.40178E+0003
"99.2"             ,    0.17907,  7.97803E+0002,  2.40178E+0003
"99.3"             ,    0.12336,  5.71529E+0002,  2.40178E+0003
"100.1"            ,    0.14648,  6.69724E+0002,  2.40178E+0003
"100.2"            ,    0.17910,  7.97929E+0002,  2.40178E+0003
"100.3"            ,    0.12332,  5.71302E+0002,  2.40178E+0003
"450.1"            ,    0.14648,  6.69724E+0002,  2.40178E+0003
"450.2"            ,    0.17910,  7.97929E+0002,  2.40178E+0003
"450.3"            ,    0.12332,  5.71302E+0002,  2.40178E+0003
"101.3"            ,    0.12346,  5.72048E+0002,  2.40178E+0003
"102.3"            ,    0.12326,  5.71335E+0002,  2.40178E+0003
"101.1"            ,    0.14633,  6.69174E+0002,  2.40178E+0003
"101.2"            ,    0.17914,  7.97921E+0002,  2.40178E+0003
"105.1"            ,    0.14620,  6.68652E+0002,  2.40178E+0003
"105.2"            ,    0.17899,  7.97372E+0002,  2.40178E+0003
"105.3"            ,    0.12354,  5.72353E+0002,  2.40178E+0003
"103.3"            ,    0.12303,  5.70511E+0002,  2.40178E+0003
"104.3"            ,    0.12277,  5.69625E+0002,  2.40178E+0003
"106.2"            ,    0.17875,  7.96578E+0002,  2.40178E+0003
"108.1"            ,    0.14596,  6.67772E+0002,  2.40178E+0003
"108.2"            ,    0.17898,  7.97295E+0002,  2.40178E+0003
"108.3"            ,    0.12365,  5.72803E+0002,  2.40178E+0003
"107.2"            ,    0.17845,  7.95563E+0002,  2.40178E+0003
"109.1"            ,    0.14531,  6.65319E+0002,  2.40178E+0003
"300.1"            ,    0.14596,  6.67772E+0002,  2.40178E+0003
"300.2"            ,    0.17898,  7.97295E+0002,  2.40178E+0003
"300.3"            ,    0.12365,  5.72803E+0002,  2.40178E+0003
"110.1"            ,    0.14500,  6.64127E+0002,  2.40178E+0003
"111.1"            ,    0.14488,  6.63703E+0002,  2.40178E+0003
"112.1"            ,    0.14490,  6.63722E+0002,  2.40178E+0003
"113.1"            ,    0.14459,  6.62408E+0002,  2.40178E+0003
"114.1"            ,    0.14452,  6.62170E+0002,  2.40178E+0003
"135.1"            ,    0.00000,  2.41770E+0003,  2.40178E+0003
"135.2"            ,    0.00000,  2.47219E+0003,  2.40178E+0003
"135.3"            ,    0.00000,  2.44181E+0003,  2.40178E+0003
"152.1"            ,    0.00000,  2.44012E+0003,  2.40178E+0003
"152.2"            ,    0.00000,  2.48142E+0003,  2.40178E+0003
"152.3"            ,    0.00000,  2.45954E+0003,  2.40178E+0003
"160r.1"           ,    0.14652,  6.69861E+0002,  2.40178E+0003
"160r.2"           ,    0.17920,  7.98156E+0002,  2.40178E+0003
"160r.3"           ,    0.12339,  5.71641E+0002,  2.40178E+0003
"197.1"            ,    0.14647,  6.69703E+0002,  2.40178E+0003
"197.2"            ,    0.17921,  7.98199E+0002,  2.40178E+0003
"197.3"            ,    0.12351,  5.72161E+0002,  2.40178E+0003
"160.1"            ,    0.13954,  6.37962E+0002,  2.40178E+0003
"160.2"            ,    0.17699,  7.88301E+0002,  2.40178E+0003
"160.3"            ,    0.11965,  5.54316E+0002,  2.40178E+0003
"61s.1"            ,    0.13954,  6.37962E+0002,  2.40178E+0003
"61s.2"            ,    0.17699,  7.88301E+0002,  2.40178E+0003
"61s.3"            ,    0.11965,  5.54316E+0002,  2.40178E+0003
"300_open.1"       ,    0.00000,  2.39761E+0003,  2.40178E+0003
"300_open.2"       ,    0.00000,  2.45528E+0003,  2.40178E+0003
"300_open.3"       ,    0.00000,  2.42786E+0003,  2.40178E+0003
"94_open.1"        ,    0.00000,  2.43529E+0003,  2.40178E+0003
"610.1"            ,    0.14608,  7.54440E+0001,  2.77128E+0002
"610.2"            ,    0.16476,  8.40148E+0001,  2.77128E+0002
"610.3"            ,    0.12734,  6.97677E+0001,  2.77128E+0002

Max Error =    0.53925
