System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =   288.8949271 + j -38889.49271
[  66,  58] =   1.540972111 + j -4.050276605
[  59,  59] =   20.44933889 + j -43.66320673
[  64,  59] =   3.675785828 + j  -5.78716678
[  65,  59] =   1.540972111 + j -4.050276605
[  66,  59] =  -8.179735557 + j   17.4652828
[  60,  60] =   11.25602045 + j -21.00631458
[  61,  60] =  -2.883665961 + j  6.191851305
[  63,  60] =  -3.852117575 + j  3.929605657
[  61,  61] =   7.603227721 + j -17.17626303
[  62,  62] =   14.98392946 + j -15.28353564
[  73,  62] =  -6.420195958 + j  6.549342761
[  63,  63] =   3.859062019 + j -3.933077643
[  64,  64] =   17.52115161 + j -33.95061027
[  65,  64] =  -5.307435648 + j  9.570411754
[  66,  64] =  -6.826459395 + j  10.74759536
[  67,  64] =  -8.083480232 + j  15.66791005
[  68,  64] =   2.449585684 + j -4.417113144
[  69,  64] =   3.150673567 + j -4.960428668
[  65,  65] =   14.54576718 + j -31.93546141
[  66,  65] =  -2.861805349 + j  7.521942239
[  67,  65] =   2.449585684 + j -4.417113144
[  68,  65] =  -6.713431006 + j  14.73944389
[  69,  65] =   1.320833238 + j -3.471665661
[  66,  66] =   15.19093746 + j -32.43552485
[  67,  66] =   3.150673567 + j -4.960428668
[  68,  66] =   1.320833238 + j -3.471665661
[  69,  66] =  -7.011201906 + j   14.9702424
[  67,  67] =   22.22957064 + j -43.08675231
[  68,  67] =   -6.73636063 + j   12.1470611
[  69,  67] =   -8.66435231 + j  13.64117877
[  70,  67] =  -14.14609041 + j  27.41884258
[  71,  67] =   4.286774947 + j -7.729948003
[  72,  67] =   5.513678742 + j -8.680750169
[  68,  68] =   18.46193527 + j -40.53347039
[  69,  68] =  -3.632291405 + j  9.547080545
[  70,  68] =   4.286774947 + j -7.729948003
[  71,  68] =  -11.74850426 + j  25.79402681
[  72,  68] =   2.311458167 + j -6.075414907
[  69,  69] =   19.28774968 + j -41.17163853
[  70,  69] =   5.513678742 + j -8.680750169
[  71,  69] =   2.311458167 + j -6.075414907
[  72,  69] =  -12.26960333 + j   26.1979242
[  70,  70] =   14.14609041 + j -27.41884247
[  71,  70] =  -4.286774947 + j  7.729947985
[  72,  70] =  -5.513678742 + j  8.680750144
[  71,  71] =   11.74850426 + j  -25.7940267
[  72,  71] =  -2.311458167 + j  6.075414899
[  72,  72] =   12.26960333 + j -26.19792409
[  73,  73] =    6.42366818 + j  -6.55107873
[  74,  74] =   19.21628344 + j  -41.9410703
[  75,  74] =  -7.919546878 + j  13.68802406
[  76,  74] =  -3.132420446 + j  7.224761626
[  77,  74] =   1.220012522 + j -2.619629405
[  78,  74] =  -3.081944222 + j  8.100553183
[  79,  74] =  -9.815682668 + j  20.95833936
[  80,  74] =   4.410942994 + j -6.944600136
[  81,  74] =   1.849166533 + j -4.860331926
[ 254,  74] =  -6.265868938 + j   13.7568143
[ 255,  74] =   2.286279972 + j -4.122638935
[ 256,  74] =   1.232777689 + j -3.240221284
[  75,  75] =   22.08051546 + j -43.82649233
[  76,  75] =   1.220012522 + j -2.619629405
[  77,  75] =   -3.21675019 + j  7.266880574
[  78,  75] =   -6.37004862 + j  10.81369176
[  79,  75] =   4.410942994 + j -6.944600136
[  80,  75] =  -11.31687233 + j  21.93507407
[  81,  75] =   3.429419957 + j -6.183958402
[ 254,  75] =   2.286279972 + j -4.122638935
[ 255,  75] =   -7.54458155 + j  14.62338271
[ 256,  75] =   2.940628663 + j -4.629733424
[  76,  76] =   9.552616403 + j -13.77410391
[  77,  76] =  -1.220012522 + j  2.619629365
[  82,  76] =  -6.420195958 + j  6.549342761
[  77,  77] =   10.92098534 + j -15.12609142
[  83,  77] =  -7.704235149 + j  7.859211313
[  78,  78] =   15.94259185 + j -34.60744734
[  79,  78] =   1.849166533 + j -4.860331926
[  80,  78] =   3.429419957 + j -6.183958402
[  81,  78] =  -9.398803408 + j  20.63522144
[ 254,  78] =   1.232777689 + j -3.240221284
[ 255,  78] =   2.940628663 + j -4.629733424
[ 256,  78] =  -6.543788445 + j  13.97222624
[  79,  79] =   19.63136534 + j -41.91667845
[  80,  79] =  -8.821885988 + j  13.88920021
[  81,  79] =  -3.698333067 + j  9.720663831
[  86,  79] =  -9.815682668 + j  20.95833936
[  87,  79] =   4.410942994 + j -6.944600136
[  88,  79] =   1.849166533 + j -4.860331926
[  80,  80] =   22.63374465 + j -43.87014784
[  81,  80] =  -6.858839915 + j  12.36791676
[  86,  80] =   4.410942994 + j -6.944600136
[  87,  80] =  -11.31687233 + j  21.93507407
[  88,  80] =   3.429419957 + j -6.183958402
[  81,  81] =   24.72394155 + j -47.31598963
[  85,  81] =   -5.92633473 + j  6.045547164
[  86,  81] =   1.849166533 + j -4.860331926
[  87,  81] =   3.429419957 + j -6.183958402
[  88,  81] =  -9.398803408 + j  20.63522144
[  82,  82] =   6.427140402 + j -6.552814842
[  83,  83] =    13.6340421 + j -13.90649432
[  84,  83] =   -5.92633473 + j  6.045547164
[  84,  84] =   5.929806952 + j -6.047283122
[  85,  85] =   5.929806952 + j -6.047283122
[  86,  86] =   22.08875822 + j -47.15799943
[  87,  86] =  -9.924621736 + j  15.62535025
[  88,  86] =    -4.1606247 + j  10.93574681
[  90,  86] =  -12.26960333 + j   26.1979242
[  91,  86] =   5.513678742 + j -8.680750169
[  92,  86] =   2.311458167 + j -6.075414907
[  87,  87] =   29.31508031 + j  -53.2835218
[  88,  87] =  -7.716194904 + j  13.91390636
[  89,  87] =  -3.852117575 + j  3.929605657
[  90,  87] =   5.513678742 + j -8.680750169
[  91,  87] =  -14.14609041 + j  27.41884258
[  92,  87] =   4.286774947 + j -7.729948003
[  88,  88] =   21.14730767 + j -46.42924801
[  90,  88] =   2.311458167 + j -6.075414907
[  91,  88] =   4.286774947 + j -7.729948003
[  92,  88] =  -11.74850426 + j  25.79402681
[  89,  89] =   3.859062019 + j -3.933077643
[  90,  90] =   31.71557994 + j -56.98027737
[  91,  90] =  -9.924621736 + j  15.62535025
[  92,  90] =    -4.1606247 + j  10.93574681
[  93,  90] =  -9.630293936 + j  9.824014142
[  94,  90] =  -9.815682668 + j  20.95833936
[  95,  90] =   4.410942994 + j -6.944600136
[  96,  90] =   1.849166533 + j -4.860331926
[  91,  91] =   25.46296273 + j -49.35391638
[  92,  91] =  -7.716194904 + j  13.91390636
[  94,  91] =   4.410942994 + j -6.944600136
[  95,  91] =  -11.31687233 + j  21.93507407
[  96,  91] =   3.429419957 + j -6.183958402
[  92,  92] =   21.14730767 + j -46.42924801
[  94,  92] =   1.849166533 + j -4.860331926
[  95,  92] =   3.429419957 + j -6.183958402
[  96,  92] =  -9.398803408 + j  20.63522144
[  93,  93] =   16.05396212 + j -16.37509278
[  97,  93] =  -6.420195958 + j  6.549342761
[  94,  94] =   34.88522582 + j -75.98993005
[  95,  94] =  -13.55606288 + j  23.43515581
[  96,  94] =  -6.780277289 + j  17.82121703
[  98,  94] =  -15.66467235 + j  34.39203574
[  99,  94] =   5.715699929 + j -10.30659734
[ 100,  94] =   3.081944222 + j  -8.10055321
[ 101,  94] =  -9.398803408 + j  20.63522144
[ 102,  94] =   3.429419957 + j -6.183958402
[ 103,  94] =   1.849166533 + j -4.860331926
[  95,  95] =   41.50126593 + j -80.43293838
[  96,  95] =  -15.19193461 + j  24.70289202
[  98,  95] =   5.715699929 + j -10.30659734
[  99,  95] =  -18.86145388 + j  36.55845678
[ 100,  95] =   7.351571657 + j -11.57433356
[ 101,  95] =   3.429419957 + j -6.183958402
[ 102,  95] =  -11.31687233 + j  21.93507407
[ 103,  95] =   4.410942994 + j -6.944600136
[  96,  96] =   35.58002459 + j -76.52845991
[  98,  96] =   3.081944222 + j  -8.10055321
[  99,  96] =   7.351571657 + j -11.57433356
[ 100,  96] =  -16.35947111 + j   34.9305656
[ 101,  96] =   1.849166533 + j -4.860331926
[ 102,  96] =   4.410942994 + j -6.944600136
[ 103,  96] =  -9.815682668 + j  20.95833936
[  97,  97] =    6.42366818 + j  -6.55107873
[  98,  98] =   15.67680715 + j -34.40070337
[  99,  98] =  -5.715699929 + j  10.30659732
[ 100,  98] =  -3.081944222 + j  8.100553203
[  99,  99] =   18.87358868 + j  -36.5671244
[ 100,  99] =  -7.351571657 + j  11.57433354
[ 100, 100] =   16.37160591 + j -34.93923324
[ 101, 101] =    18.8036832 + j -41.27478289
[ 102, 101] =  -6.858839915 + j  12.36791676
[ 103, 101] =  -3.698333067 + j  9.720663831
[ 104, 101] =  -9.398803408 + j  20.63522144
[ 105, 101] =   3.429419957 + j -6.183958402
[ 106, 101] =   1.849166533 + j -4.860331926
[ 102, 102] =   22.64589743 + j -43.87882839
[ 103, 102] =  -8.821885988 + j  13.88920021
[ 104, 102] =   3.429419957 + j -6.183958402
[ 105, 102] =  -11.31687233 + j  21.93507407
[ 106, 102] =   4.410942994 + j -6.944600136
[ 103, 103] =   19.63744172 + j -41.92101873
[ 104, 103] =   1.849166533 + j -4.860331926
[ 105, 103] =   4.410942994 + j -6.944600136
[ 106, 103] =  -9.815682668 + j  20.95833936
[ 104, 104] =   18.79760682 + j -41.27044262
[ 105, 104] =  -6.858839915 + j  12.36791676
[ 106, 104] =  -3.698333067 + j  9.720663831
[ 107, 104] =  -9.398803408 + j  20.63522144
[ 108, 104] =   3.429419957 + j -6.183958402
[ 109, 104] =   1.849166533 + j -4.860331926
[ 105, 105] =   22.63374465 + j -43.87014784
[ 106, 105] =  -8.821885988 + j  13.88920021
[ 107, 105] =   3.429419957 + j -6.183958402
[ 108, 105] =  -11.31687233 + j  21.93507407
[ 109, 105] =   4.410942994 + j -6.944600136
[ 106, 106] =   19.63830978 + j -41.92015067
[ 107, 106] =   1.849166533 + j -4.860331926
[ 108, 106] =   4.410942994 + j -6.944600136
[ 109, 106] =  -9.815682668 + j  20.95833936
[ 107, 107] =   12.33940169 + j -27.08546368
[ 108, 107] =  -4.501113694 + j  8.116445308
[ 109, 107] =  -2.427031075 + j  6.379185609
[ 110, 107] =  -2.937126065 + j  6.448506702
[ 111, 107] =   1.071693737 + j -1.932487001
[ 112, 107] =  0.5778645417 + j -1.518853727
[ 108, 108] =   14.85339493 + j -28.78978409
[ 109, 108] =   -5.78936268 + j  9.114787543
[ 110, 108] =   1.071693737 + j -1.932487001
[ 111, 108] =  -3.536522602 + j  6.854710646
[ 112, 108] =   1.378419686 + j -2.170187542
[ 109, 109] =    12.8830835 + j -27.50781984
[ 110, 109] =  0.5778645417 + j -1.518853727
[ 111, 109] =   1.378419686 + j -2.170187542
[ 112, 109] =  -3.067400834 + j  6.549481051
[ 110, 110] =   1000002.937 + j -6.448506265
[ 111, 110] =  -1.071693737 + j  1.932486928
[ 112, 110] = -0.5778645417 + j  1.518853693
[ 272, 110] =      -1000000 + j            0
[ 111, 111] =   1000003.537 + j  -6.85471017
[ 112, 111] =  -1.378419686 + j   2.17018744
[ 273, 111] =      -1000000 + j            0
[ 112, 112] =   1000003.067 + j -6.549480613
[ 274, 112] =      -1000000 + j            0
[ 113, 113] =   18.41134945 + j  -39.3003582
[ 114, 113] =  -8.270518114 + j  13.02112518
[ 115, 113] =   -3.46718725 + j  9.113122336
[ 116, 113] =  -12.26960333 + j   26.1979242
[ 117, 113] =   5.513678742 + j -8.680750169
[ 118, 113] =   2.311458167 + j -6.075414907
[ 257, 113] =  -6.134801667 + j   13.0989621
[ 258, 113] =   2.756839371 + j -4.340375085
[ 259, 113] =   1.155729083 + j -3.037707454
[ 114, 114] =   21.21913561 + j -41.12826352
[ 115, 114] =   -6.43016242 + j  11.59492195
[ 116, 114] =   5.513678742 + j -8.680750169
[ 117, 114] =  -14.14609041 + j  27.41884258
[ 118, 114] =   4.286774947 + j -7.729948003
[ 257, 114] =   2.756839371 + j -4.340375085
[ 258, 114] =  -7.073045203 + j  13.70942129
[ 259, 114] =   2.143387473 + j -3.864974001
[ 115, 115] =   17.62275639 + j -38.69103988
[ 116, 115] =   2.311458167 + j -6.075414907
[ 117, 115] =   4.286774947 + j -7.729948003
[ 118, 115] =  -11.74850426 + j  25.79402681
[ 257, 115] =   1.155729083 + j -3.037707454
[ 258, 115] =   2.143387473 + j -3.864974001
[ 259, 115] =   -5.87425213 + j   12.8970134
[ 116, 116] =   31.90791311 + j -68.11807497
[ 117, 116] =  -14.33556473 + j   22.5699504
[ 118, 116] =  -6.009791234 + j  15.79607875
[ 119, 116] =  -19.63136534 + j  41.91667873
[ 120, 116] =   8.821885988 + j -13.88920027
[ 121, 116] =   3.698333067 + j -9.720663852
[ 117, 117] =   36.77983506 + j -71.28899053
[ 118, 117] =  -11.14561486 + j  20.09786478
[ 119, 117] =   8.821885988 + j -13.88920027
[ 120, 117] =  -22.63374465 + j  43.87014814
[ 121, 117] =   6.858839915 + j  -12.3679168
[ 118, 118] =   30.54611108 + j -67.06446952
[ 119, 118] =   3.698333067 + j -9.720663852
[ 120, 118] =   6.858839915 + j  -12.3679168
[ 121, 118] =  -18.79760682 + j  41.27044289
[ 119, 119] =   1000035.268 + j -75.70915799
[ 120, 119] =   -14.1526674 + j  23.67413872
[ 121, 119] =  -7.828979236 + j  18.55626052
[ 122, 119] =   -8.92334788 + j  19.05303578
[ 123, 119] =   4.009948176 + j  -6.31327285
[ 124, 119] =   1.681060485 + j -4.418483569
[ 125, 119] =  -6.713431006 + j  14.73944389
[ 126, 119] =   1.320833238 + j -3.471665661
[ 127, 119] =   2.449585684 + j -4.417113144
[ 275, 119] =      -1000000 + j            0
[ 120, 120] =   39.93301231 + j -78.78136653
[ 121, 120] =  -13.12716799 + j  22.95012576
[ 122, 120] =   4.009948176 + j  -6.31327285
[ 123, 120] =  -10.28806575 + j  19.94097643
[ 124, 120] =   3.117654507 + j -5.621780366
[ 125, 120] =   1.320833238 + j -3.471665661
[ 126, 120] =  -7.011201906 + j   14.9702424
[ 127, 120] =   3.150673567 + j -4.960428668
[ 121, 121] =   35.42545378 + j -75.69764473
[ 122, 121] =   1.681060485 + j -4.418483569
[ 123, 121] =   3.117654507 + j -5.621780366
[ 124, 121] =  -8.544366734 + j  18.75929222
[ 125, 121] =   2.449585684 + j -4.417113144
[ 126, 121] =   3.150673567 + j -4.960428668
[ 127, 121] =  -8.083480232 + j  15.66791005
[ 122, 122] =   17.85016798 + j -38.10780738
[ 123, 122] =  -8.019896353 + j  12.62654563
[ 124, 122] =   -3.36212097 + j  8.836967115
[ 128, 122] =   -8.92334788 + j  19.05303578
[ 129, 122] =   4.009948176 + j  -6.31327285
[ 130, 122] =   1.681060485 + j -4.418483569
[ 123, 123] =    20.5761315 + j -39.88195252
[ 124, 123] =  -6.235309013 + j  11.24356068
[ 128, 123] =   4.009948176 + j  -6.31327285
[ 129, 123] =  -10.28806575 + j  19.94097643
[ 130, 123] =   3.117654507 + j -5.621780366
[ 124, 124] =   17.08873347 + j -37.51858414
[ 128, 124] =   1.681060485 + j -4.418483569
[ 129, 124] =   3.117654507 + j -5.621780366
[ 130, 124] =  -8.544366734 + j  18.75929222
[ 125, 125] =   9.846365475 + j -21.61785044
[ 126, 125] =  -1.937222083 + j  5.091776257
[ 127, 125] =   -3.59272567 + j  6.478432512
[ 132, 125] =  -3.132934469 + j  6.878407148
[ 133, 125] =  0.6163888445 + j -1.620110642
[ 134, 125] =   1.143139986 + j -2.061319467
[ 126, 126] =   17.98733128 + j -29.81556612
[ 127, 126] =  -4.620987898 + j  7.275295239
[ 131, 126] =  -7.704235149 + j  7.859211313
[ 132, 126] =  0.6163888445 + j -1.620110642
[ 133, 126] =  -3.271894223 + j  6.986113121
[ 134, 126] =   1.470314331 + j -2.314866712
[ 127, 127] =   11.85577101 + j -22.97960075
[ 132, 127] =   1.143139986 + j -2.061319467
[ 133, 127] =   1.470314331 + j -2.314866712
[ 134, 127] =  -3.772290775 + j  7.311691356
[ 128, 128] =    8.92334788 + j -19.05303563
[ 129, 128] =  -4.009948176 + j  6.313272815
[ 130, 128] =  -1.681060485 + j  4.418483557
[ 129, 129] =   10.29153797 + j -19.94271237
[ 130, 129] =  -3.117654507 + j  5.621780341
[ 130, 130] =   8.544366734 + j -18.75929207
[ 131, 131] =   15.41194252 + j  -15.7201585
[ 135, 131] =  -7.704235149 + j  7.859211313
[ 132, 132] =   1000021.572 + j -23.38994049
[ 133, 132] =  -6.379416686 + j  6.277921243
[ 134, 132] =  -5.524047423 + j  6.719875475
[ 136, 132] =  -5.144032875 + j  9.970488213
[ 137, 132] =   2.004974088 + j -3.156636425
[ 138, 132] =   1.558827253 + j -2.810890183
[ 139, 132] =  -13.29188988 + j  6.539312275
[ 140, 132] =   3.758053754 + j -1.501174277
[ 141, 132] =   2.822080184 + j -1.847665943
[ 266, 132] =      -1000000 + j            0
[ 133, 133] =   1000021.667 + j -22.61634152
[ 134, 133] =  -6.068898328 + j  6.025282654
[ 136, 133] =   2.004974088 + j -3.156636425
[ 137, 133] =   -4.46167394 + j  9.526517892
[ 138, 133] =  0.8405302425 + j -2.209241784
[ 139, 133] =   3.758053754 + j -1.501174277
[ 140, 133] =  -13.93343177 + j   6.10371374
[ 141, 133] =   3.758053754 + j -1.501174277
[ 267, 133] =      -1000000 + j            0
