
BUSES AND NODES IN ACTIVE CIRCUIT: ieee123

                                   Coord                        Number of     Nodes 
  Bus         Base kV             (x, y)            Keep?       Nodes      connected ...
"46"         4.160          ( 2475         , 3025         )     No           1          1 
"48"         4.160          ( 1825         , 3275         )     No           3          1    2    3 
"49"         4.160          ( 2225         , 3275         )     No           3          1    2    3 
"50"         4.160          ( 2475         , 3275         )     No           3          1    2    3 
"51"         4.160          ( 2725         , 3275         )     No           3          1    2    3 
"151"        4.160          ( 3187         , 3928         )     No           3          1    2    3 
"52"         4.160          ( 2000         , 1500         )     No           3          1    2    3 
"53"         4.160          ( 2200         , 1500         )     No           3          1    2    3 
"54"         4.160          ( 2325         , 1500         )     No           3          1    2    3 
"55"         4.160          ( 2600         , 1500         )     No           3          1    2    3 
"57"         4.160          ( 2325         , 1850         )     No           3          1    2    3 
"56"         4.160          ( 2875         , 1500         )     No           3          1    2    3 
"58"         4.160          ( 2075         , 1850         )     No           1          2 
"60"         4.160          ( 3075         , 1850         )     No           3          1    2    3 
"59"         4.160          ( 1825         , 1850         )     No           1          2 
"61"         4.160          ( 3075         , 1300         )     No           3          1    2    3 
"62"         4.160          ( 3075         , 2100         )     No           3          1    2    3 
"63"         4.160          ( 3075         , 2275         )     No           3          1    2    3 
"64"         4.160          ( 3075         , 2625         )     No           3          1    2    3 
"65"         4.160          ( 2650         , 2625         )     No           3          1    2    3 
"66"         4.160          ( 2650         , 2300         )     No           3          1    2    3 
"67"         4.160          ( 3525         , 1850         )     No           3          1    2    3 
"68"         4.160          ( 3725         , 1850         )     No           1          1 
"72"         4.160          ( 3525         , 1575         )     No           3          1    2    3 
"97"         4.160          ( 3525         , 2100         )     No           3          1    2    3 
"69"         4.160          ( 4000         , 1850         )     No           1          1 
"70"         4.160          ( 4325         , 1850         )     No           1          1 
"71"         4.160          ( 4600         , 1850         )     No           1          1 
"73"         4.160          ( 3800         , 1575         )     No           1          3 
"76"         4.160          ( 3525         , 1375         )     No           3          1    2    3 
"74"         4.160          ( 4150         , 1575         )     No           1          3 
"75"         4.160          ( 4550         , 1575         )     No           1          3 
"77"         4.160          ( 3925         , 1375         )     No           3          1    2    3 
"86"         4.160          ( 3255         , 725          )     No           3          1    2    3 
"78"         4.160          ( 4025         , 1375         )     No           3          1    2    3 
"79"         4.160          ( 4250         , 1375         )     No           3          1    2    3 
"80"         4.160          ( 4025         , 900          )     No           3          1    2    3 
"81"         4.160          ( 4025         , 425          )     No           3          1    2    3 
"82"         4.160          ( 4025         , 175          )     No           3          1    2    3 
"84"         4.160          ( 4700         , 425          )     No           1          3 
"83"         4.160          ( 4275         , 175          )     No           3          1    2    3 
"85"         4.160          ( 4700         , 900          )     No           1          3 
"87"         4.160          ( 3050         , 1125         )     No           3          1    2    3 
"88"         4.160          ( 2950         , 1300         )     No           1          1 
"89"         4.160          ( 2775         , 1125         )     No           3          1    2    3 
"90"         4.160          ( 2775         , 900          )     No           1          2 
"91"         4.160          ( 2550         , 1125         )     No           3          1    2    3 
"92"         4.160          ( 2550         , 825          )     No           1          3 
"93"         4.160          ( 2325         , 1125         )     No           3          1    2    3 
"94"         4.160          ( 2325         , 850          )     No           1          1 
"95"         4.160          ( 2025         , 1125         )     No           3          1    2    3 
"96"         4.160          ( 2025         , 925          )     No           1          2 
"98"         4.160          ( 3800         , 2100         )     No           3          1    2    3 
"99"         4.160          ( 4350         , 2100         )     No           3          1    2    3 
"100"        4.160          ( 4650         , 2100         )     No           3          1    2    3 
"450"        4.160          ( 5450         , 2100         )     No           3          1    2    3 
"101"        4.160          ( 3525         , 2450         )     No           3          3    1    2 
"102"        4.160          ( 3750         , 2450         )     No           1          3 
"105"        4.160          ( 3525         , 2725         )     No           3          1    2    3 
"103"        4.160          ( 4075         , 2450         )     No           1          3 
"104"        4.160          ( 4775         , 2450         )     No           1          3 
"106"        4.160          ( 3750         , 2725         )     No           1          2 
"108"        4.160          ( 3525         , 3050         )     No           3          1    2    3 
"107"        4.160          ( 4325         , 2725         )     No           1          2 
"109"        4.160          ( 3975         , 3050         )     No           1          1 
"300"        4.160          ( 3245         , 4010         )     No           3          1    2    3 
"110"        4.160          ( 4275         , 3050         )     No           1          1 
"111"        4.160          ( 4275         , 3625         )     No           1          1 
"112"        4.160          ( 4275         , 2925         )     No           1          1 
"113"        4.160          ( 4800         , 2925         )     No           1          1 
"114"        4.160          ( 5125         , 2925         )     No           1          1 
"135"        4.160          ( 1600         , 2325         )     No           3          1    2    3 
"152"        4.160          ( 1600         , 1500         )     No           3          1    2    3 
"160r"       4.160          ( 3175         , 1850         )     No           3          1    2    3 
"197"        4.160          ( 3525         , 2200         )     No           3          1    2    3 
"160"        4.160          ( 3175         , 1850         )     No           3          1    2    3 
"61s"        4.160          ( 3175         , 1300         )     No           3          1    2    3 
"300_open"   4.160          (           NA,            NA )     No           3          1    2    3 
"94_open"    4.160          (           NA,            NA )     No           1          1 
"610"        0.480          ( 3275         , 1300         )     No           3          1    2    3 
